Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_HSK,_Dao,Color,Encountered,ID
工人,gōngrén,"Worker, usually blue-collar workers or manual labourers",我的叔叔是一名工人,My uncle is a worker,Band1,1.1,5,0,2
天气,tiānqì,noun: weather but can also refer to the temperature of the environment,今天天气很好，适合去散步。,The weather is great today — perfect for a walk.,Band1,1.1,5,0,3
变成,biànchéng,become; change into,水变成了冰,Water turned into ice.,Band2,1.1,5,0,4
声音,shēngyīn,"Sound, voice, volume",这里的环境很吵，到处都是嘈杂的声音。老师的声音虽然好听，但是声音太小了，我听不清楚。,"Her voice was gentle and clear, like the sound of a summer breeze rustling through leaves.",Band2,1.1,5,0,5
地方,dìfang,"Noun: place / location / spot
Noun/Adjective: local / regional (as opposed to central/national)
Noun: space / room
Noun: part / point / respect / aspect",地方当局正在调查这起事件,The local authorities are investigating the incident,Band1,1.2,5,0,6
认真,rènzhēn,adjective: serious; conscientious / adverb: seriously; earnestly,她工作的时候非常认真。,She is very serious when she works.,Band1,1.2,5,0,7
正在,zhèngzài,in process of,我正在吃饭,I’m eating (right now).,Band1,1.2,5,0,8
参观,cānguān,visit,我们明天要去参观博物馆,We’re going to visit the museum tomorrow.,Band2,1.2,5,0,9
草地,cǎodì,lawn,孩子们在草地上玩游戏,The kids are playing on the grass.,Band2,1.2,5,0,10
到处,dàochù,everywhere,节日的时候，城市里到处都是人,"During holidays, the city is full of people everywhere.",Band2,1.2,5,0,11
接着,jiēzhe,Next/then based on the sentence context,他吃完饭，接着去散步。,"He finished eating, then went for a walk.",Band2,1.2,5,0,12
难过,nánguò,sad / upset,听到这个消息我很难过。,I was very sad to hear the news.,Band2,1.2,5,0,13
所有,suǒyǒu,pronoun: all; every / noun: ownership; possession,所有学生都已经到了。,All the students have already arrived.,Band2,1.2,5,0,14
应该,yīnggāi,verb: should; ought to / adverb: probably,你应该早点告诉我这件事。,You should have told me about this earlier.,Band2,1.2,5,0,15
影响,yǐngxiǎng,Influence,天气会影响我们的旅行计划。,The weather might affect our travel plans.,Band2,1.2,5,0,16
主人,zhǔrén,host / owner,狗一看到主人就高兴地跳起来。,狗一看到主人就高兴地跳起来。,Band2,1.2,5,0,17
传来,chuánlái,"verb: (of sound, smell, etc.) to come through / to be heard from afar",厨房传来饭菜的香味和笑声。,Delicious smells and laughter came from the kitchen.,Band3,1.2,5,0,18
从来,cónglái,adverb: always (in the past) / never (when used with negative),我从来没有看过这么奇怪的东西。,I’ve never seen something this strange before.,Band3,1.2,5,0,19
从前,cóngqián,noun/adverb: once upon a time / in the past,从前有一个聪明的国王。,"Once upon a time, there was a wise king.",Band3,1.2,5,0,20
合作,hézuò,"verb: to cooperate / to collaborate
noun: cooperation",两个团队正在合作开发新产品，这次合作对双方都很重要。,The two teams are working together to develop a new product — this cooperation is important for both sides.,Band3,1.2,5,0,21
连忙,liánmáng,adverb: hurriedly / promptly,听到有人喊他，他连忙跑过去。,"When he heard someone call him, he hurried over.",Band3,1.2,5,0,22
同意,tóngyì,verb: to agree / to approve,大家一致同意这个方案。,Everyone agreed on the plan.,Band3,1.2,5,0,23
愿望,yuànwàng,noun: wish / desire,她的生日愿望是考上理想的大学。,Her birthday wish is to get into her dream university.,Band3,1.2,5,0,24
总是,zǒngshì,adverb: always,他总是忘记带钥匙。,He always forgets to bring his keys.,Band3,1.2,5,0,25
伙伴,huǒbàn,noun: partner; companion; teammate,他是我最信任的伙伴。,He is the partner I trust the most.,Band4,1.2,5,0,26
集合,jíhé,verb: to gather; to assemble / noun: collection; set,老师让大家马上集合。,The teacher told everyone to gather immediately.,Band4,1.2,5,0,27
重要,zhòngyào,important,家人对我来说最重要,Family is the most important to me.,Band1,1.3,5,0,28
必须,bǐxú,Must,你必须每天练习中文。,You must practice Chinese every day.,Band2,1.3,5,0,29
不过,búguò,"adverb: however, but 
adverb: only, just",这里的菜很好吃，不过价格不过五块钱。,"The food here is delicious, but the price is only five dollars.",Band2,1.3,5,0,30
当时,dāngshí,at that time,我当时不知道该怎么办,"At that time, I didn’t know what to do.",Band2,1.3,5,0,31
道理,dàolǐ,reason / principle / logic,"你说的很有道理
他从来不听道理。","What you said makes a lot of sense.
He never listens to reason.",Band2,1.3,5,0,32
面前,miànqián,in front of,他站在老师面前不敢说话,He stood in front of the teacher and didn’t dare to speak.,Band2,1.3,5,0,33
年级,niánjí,noun: grade / school year,我弟弟现在读三年级，刚开始学写作文。,My little brother is in Grade 3 and just started learning to write essays.,Band2,1.3,5,0,34
其中,qízhōng,among them / including,我有很多爱好，其中一个是画画。,"I have many hobbies, one of which is drawing.",Band2,1.3,5,0,35
使用,shǐyòng,"formal, more ""professional"" version of ""use.",请使用手机扫描二维码。,Please use your phone to scan the QR code.,Band2,1.3,5,0,36
讨论,tǎolùn,discuss,我们一起讨论一下这个问题。,Let’s discuss this problem together.,Band2,1.3,5,0,37
味道,wèidào,noun: taste / smell / flavor,这道菜味道很特别，有点辣但很好吃。,This dish has a unique flavor—it’s a bit spicy but delicious.,Band2,1.3,5,0,38
习惯,xíguàn,Habit,我已经习惯早起了。,I’m already used to getting up early.,Band2,1.3,5,0,39
比较,bǐjiào,relatively / to compare (adverb and verb),今天比较冷。请比较这两张照片。,It’s relatively cold today. Please compare these two photos.,Band3,1.3,5,0,40
曾经,céngjīng,adverb: once / previously,我曾经来过这里，还拍了很多照片。,I’ve been here before and even took many photos.,Band3,1.3,5,0,41
错误,cuòwù,"noun: mistake / error
adjective: incorrect / mistaken",他的做法是错误的，这个错误可能带来严重后果。,"His approach is incorrect, and this mistake could lead to serious consequences.",Band3,1.3,5,0,42
到达,dàodá,verb: to arrive / to reach （formal),火车准时到达了北京站。,The train arrived at Beijing Station on time.,Band3,1.3,5,0,43
到底,dàodǐ,"adverb: after all / exactly / in the end
used for emphasis in questions",你到底想说什么？我到底该相信谁？,What exactly are you trying to say? Who should I believe in the end?,Band3,1.3,5,0,44
丰富,fēngfù,"adjective: rich / abundant
verb: to enrich",阅读可以丰富你的知识，也让你的生活更加丰富。,Reading can enrich your knowledge and make your life more abundant.,Band3,1.3,5,0,45
工具,gōngjù,noun: tool / instrument,修车需要各种工具。,Fixing a car requires all kinds of tools.,Band3,1.3,5,0,46
观察,guānchá,verb: to observe,科学家正在仔细观察实验结果。,The scientists are carefully observing the experiment results.,Band3,1.3,5,0,47
果然,guǒrán,adverb: as expected / sure enough,他说今天会下雨，果然下午就下了。,"He said it would rain today, and sure enough, it rained in the afternoon.",Band3,1.3,5,0,48
好奇,hàoqí,adjective: curious,孩子对一切新鲜事物都充满好奇。,Children are full of curiosity about new things.,Band3,1.3,5,0,49
互相,hùxiāng,adverb: each other / mutually,朋友之间应该互相尊重。,Friends should respect each other.,Band3,1.3,5,0,50
建议,jiànyì,"verb: to suggest / to recommend
noun: suggestion",我建议你早点休息，这也是医生的建议。,I suggest you get some rest — it’s also what the doctor recommends.,Band3,1.3,5,0,51
结束,jiéshù,"Verb: to end / to finish
Noun: end / conclusion (contextual, not used as a standalone noun in casual speech)",会议已经结束，大家可以离开了。,"The meeting has ended, and everyone may leave now.",Band3,1.3,5,0,52
精彩,jīngcǎi,Adjective: brilliant / wonderful / splendid,这场表演真是太精彩了，观众全场鼓掌。,The performance was absolutely brilliant — the audience applauded nonstop.,Band3,1.3,5,0,53
精神,jīngshén,"Noun: spirit / energy / vitality
Adjective: lively / energetic",他今天精神很好，工作时也表现出了很强的团队精神。,He’s full of energy today and showed great team spirit at work.,Band3,1.3,5,0,54
纪念,jìniàn,"verb: to commemorate
noun: souvenir / remembrance",这枚纪念币是为了纪念祖父而制作的。,This commemorative coin was made to honor my grandfather.,Band3,1.3,5,0,55
决定,juédìng,"verb: to decide
noun: decision",他决定辞职，这个决定让很多人吃惊,"He decided to resign, and that decision surprised many people.",Band3,1.3,5,0,56
困难,kùnnán,"noun: difficulty / hardship
adjective: difficult",虽然过程很困难，但我们还是克服了所有困难。,"Although the process was difficult, we overcame all the difficulties.",Band3,1.3,5,0,57
立刻,lìkè,adverb: immediately / at once,我立刻给他回了电话。,I called him back immediately.,Band3,1.3,5,0,58
美食,měishí,noun: delicious food / gourmet food,台湾是著名的美食天堂。,Taiwan is a famous paradise for food lovers.,Band3,1.3,5,0,59
书架,shūjià,noun: bookshelf,书架上摆满了各种各样的书。,The bookshelf is filled with all kinds of books.,Band3,1.3,5,0,60
支持,zhīchí,"verb: to support
noun: support",大家都支持他的决定，他感受到了强烈的支持。,"Everyone supports his decision, and he felt strong support.",Band3,1.3,5,0,61
周围,zhōuwéi,noun: surroundings / nearby area,他家周围有很多超市和餐馆。,There are many supermarkets and restaurants around his house.,Band3,1.3,5,0,62
注意,zhùyì,verb: to pay attention to / to take care,开车时要注意安全。,Pay attention to safety while driving.,Band3,1.3,5,0,63
的确,díquè,adverb: indeed; really; truly,他说的话的确很有道理。,What he said really makes sense.,Band4,1.3,5,0,64
竟然,jìngrán,adverb: unexpectedly / to one’s surprise,他竟然一个人完成了整个项目。,He actually completed the whole project by himself — amazing!,Band4,1.3,5,0,65
吸引,xīyǐn,verb: to attract / to draw,这部电影的海报非常吸引人。,The poster for this movie is very eye-catching.,Band4,1.3,5,0,66
遇到,yùdào,verb: to encounter; to run into; to meet,我昨天在商场遇到了一位老朋友。,I ran into an old friend at the mall yesterday.,Band4,1.3,5,0,67
阅读,yuèdú,"This is more formal and refers to the act of reading and comprehending. You’ll see this word on exams or when talking about ""reading"" as a hobby or a cognitive process.",每天坚持阅读不仅能增长知识，也能提升表达能力。,Reading every day not only expands your knowledge but also improves your communication.,Band4,1.3,5,0,68
于是,yúshì,conjunction: so / as a result / therefore,天开始下雨了，于是我们改成在室内吃饭。,"It started raining, so we decided to eat indoors instead.",Band4,1.3,5,0,69
之间,zhījiān,noun: between; among,我们之间没有什么秘密。,There are no secrets between us.,Band4,1.3,5,0,70
欣赏,xīnshǎng,verb: to appreciate; to admire; to enjoy,我很欣赏他的工作态度。,I really admire his work attitude.,Band5,1.3,5,0,71
珍惜,zhēnxī,verb: to treasure / to cherish,我们要珍惜现在拥有的一切。,We should cherish everything we have now.,Band5,1.3,5,0,72
户外,hùwài,noun: outdoors / adjective: outdoor,很多人喜欢参加户外活动。,Many people like participating in outdoor activities.,Band6,1.3,5,0,73
礼堂,lǐtáng,noun: auditorium; assembly hall,学校的礼堂可以容纳很多学生。,The school auditorium can hold many students.,Band6,1.3,5,0,74
愉快,yúkuài,adjective: happy; pleasant; delightful,我们度过了一个非常愉快的周末。,We spent a very pleasant weekend.,Band6,1.3,5,0,75
表示,biǎoshì,"To Express
Usage: Use this when you are ""showing"" or ""indicating"" something, often through a gesture, an official statement, or a specific action. It can also mean ""to represent.""",他表示了他的担忧,He expressed his concern,Unknown,1.3,5,0,76
家人,jiārén,family,我很想念我的家人,I really miss my family.,Band1,1.4,5,0,77
介绍,jièshào,"verb: to introduce

noun: introduction",老师先做了自我介绍，然后介绍了今天的课程安排。,"The teacher first introduced herself, then introduced the day’s lesson plan.",Band1,1.4,5,0,78
办公室,bàngōngshì,noun: office,我在办公室工作，每天朝九晚五。,I work in an office from 9 to 5 every day.,Band2,1.4,5,0,79
比如,bǐrú,such as,我喜欢很多运动，比如篮球和游泳,"I like many sports, for example, basketball and swimming.",Band2,1.4,5,0,80
不但,búdàn,not only,他不但聪明，而且非常勤奋,"He is not only intelligent, but also very hardworking",Band2,1.4,5,0,81
不如,bùrú,verb: not as good as; inferior to,与其犹豫不决，不如直接试一次。,"Instead of hesitating, it’s better to just try once.",Band2,1.4,5,0,82
不同,bùtóng,different (formal),我们有不同的看法,We have different opinions.,Band2,1.4,5,0,83
过去,guòqù,"noun: the past
verb: to go over / to pass by",过去的事情就让它过去吧,Let the past stay in the past.,Band2,1.4,5,0,84
结果,jiéguǒ,Result,比赛的结果很令人满意。,The result of the match was very satisfying.,Band2,1.4,5,0,85
旅游,lǚyóu,Travel,我打算去中国旅游。,I plan to travel to China,Band2,1.4,5,0,86
校长,xiàozhǎng,Principal,校长在大会上发了言。,The principal spoke at the assembly.,Band2,1.4,5,0,87
样子,yàngzi,appearance / manner / pattern / model,你看他的样子，好像生病了。,Look at him—he seems sick.,Band2,1.4,5,0,88
爱心,àixīn,compassion / caring heart,她是一位充满爱心的老师。,She is a very compassionate teacher.,Band3,1.4,5,0,89
保持,bǎochí,to maintain / to keep ( maintaining a state or condition.),请保持安静。,Please keep quiet.,Band3,1.4,5,0,90
才能,cáinéng,"noun: talent / ability
conjunction: only then can...",有绘画才能，努力之后才能成功。,"He has artistic talent, but only with effort can he succeed.",Band3,1.4,5,0,91
成长,chéngzhǎng,"verb: to grow up
noun: growth / development",孩子的成长需要时间和关爱。,A child’s growth requires time and love.,Band3,1.4,5,0,92
充满,chōngmǎn,verb: to be full of / to be filled with (abstract or emotional),她的脸上充满了幸福的笑容。,Her face was full of a joyful smile.,Band3,1.4,5,0,93
代表,dàibiǎo,"noun: representative
verb: to represent",他是学生会的代表，代表全体同学发言,He is the student council representative and speaks on behalf of all students.,Band3,1.4,5,0,94
环境,huánjìng,noun: environment / surroundings,学习环境对效率有很大影响。,The learning environment greatly affects efficiency.,Band3,1.4,5,0,95
坚持,jiānchí,verb: to persist / to insist,只要你坚持下去，终会看到成果,"As long as you persist, you will eventually see results.",Band3,1.4,5,0,96
批评,pīpíng,"verb: to criticize
noun: criticism",他批评了我的工作态度，这番批评让我反思了很多。,He criticized my attitude toward work — and that criticism made me reflect deeply,Band3,1.4,5,0,97
其实,qíshí,adverb: actually / in fact,他看起来很冷静，其实心里很紧张。,"He looks calm, but in fact, he’s quite nervous.",Band3,1.4,5,0,98
舞台,wǔtái,noun: stage (literal and metaphorical),她走上舞台，开始了自己的舞台人生。,She stepped onto the stage and began her life in the spotlight.,Band3,1.4,5,0,99
主意,zhǔyi,noun: idea / plan / decision,这是个好主意，我们就这么做吧！,That’s a great idea — let’s go with it!,Band3,1.4,5,0,100
分享,fēnxiǎng,"verb: to share (content, emotions, etc.)",她总是喜欢分享好吃的东西和快乐的心情。,She always likes to share delicious food and her happy mood.,Band5,1.4,5,0,101
惭愧,cánkuì,adjective: ashamed / embarrassed (for one's mistake or unworthiness),面对老师的信任，他感到非常惭愧，因为自己没完成作业。,"Facing the teacher’s trust, he felt very ashamed for not completing the homework.",Band7,1.4,5,0,102
地点,dìdiǎn,"location. This is used when referring to a specific spot where an event happens. It emphasizes the ""where"" of a plan or an occurrence.",会议将在市中心的一个新地点举行,The meeting will take place at a new location downtown.,Band1,1.5,5,0,103
地图,dìtú,Map,我用地图找到了那家饭店,I used a map to find that restaurant,Band1,1.5,5,0,104
哪些,nǎxiē,which,你喜欢哪些电影？,Which movies do you like?,Band1,1.5,5,0,105
打算,dǎsuàn,"verb: To plan or To intend
noun: A plan or Intention",我打算下个月去旅行。,I plan to travel next month.,Band2,1.5,5,0,106
答应,dāying,promise,你答应过我的！,You promised me!,Band2,1.5,5,0,107
方便,fāngbiàn,convenient,你什么时候方便见面？,When is it convenient for you to meet?,Band2,1.5,5,0,108
放心,fàngxīn,Don't worry,你放心，我会帮你的,"Don’t worry, I’ll help you.",Band2,1.5,5,0,109
感谢,gǎnxiè,Thank,我想借这个机会表示感谢。,I want to take this opportunity to express my thanks.,Band2,1.5,5,0,110
故意,gùyì,deliberately,他不是故意打破杯子的。,He didn’t break the cup on purpose.,Band2,1.5,5,0,111
交给,jiāogěi,"verb: to hand over / to give to. Use this when you are finishing a task or putting someone in charge of something. It implies a ""submission"" or ""assignment.""",请把作业交给老师。,Please hand your homework to the teacher.,Band2,1.5,5,0,112
教室,jiàoshì,class room (China version),教室里很安静，大家都在学习。,It’s quiet in the classroom; everyone is studying.,Band2,1.5,5,0,113
教师,jiàoshī,formal noun that refers to the profession or the job category for teacher,他是一位有经验的中文教师。,He is an experienced Chinese teacher.,Band2,1.5,5,0,114
交通,jiāotōng,"Transportation, traffic. It encompasses the movement of people and goods from one place to another, as well as the systems and infrastructure that support this movement.","这个城市的交通非常方便。
上班高峰期的交通非常拥堵",The transportation in this city is very convenient. The traffic during rush hour is very congested,Band2,1.5,5,0,115
教育,jiàoyù,"noun: education

verb: to educate",他从小接受良好的教育，现在也教育自己的孩子很用心。,He received a good education from a young age and now also puts effort into educating his own kids.,Band2,1.5,5,0,116
家长,jiāzhǎng,parent,学校邀请家长来开会。,The school invited the parents to a meeting.,Band2,1.5,5,0,117
节目,jiémù,program,我最喜欢那个歌唱节目。,My favorite is that singing program.,Band2,1.5,5,0,118
经过,jīngguò,to pass by; after going through; process,我每天上学都会经过那家咖啡店。,I pass by that coffee shop every day on my way to school.,Band2,1.5,5,0,119
看法,kànfǎ,point of view (less formal version),你对这个问题有什么看法？,What’s your opinion on this issue?,Band2,1.5,5,0,120
满意,mǎnyì,Satisfied,客人对服务很满意。,The customer is very satisfied with the service.,Band2,1.5,5,0,121
打破,dǎpò,"verb: to break (physically or abstractly, like a record or silence)",他打破了沉默，也打破了世界纪录,He broke the silence — and the world record too.,Band3,1.5,5,0,122
方式,fāngshì,noun: method / way / style,我们可以用不同的方式解决这个问题。,We can solve this problem in different ways.,Band3,1.5,5,0,123
各种,gèzhǒng,noun/phrase: various kinds / all sorts of,商店里有各种各样的商品。,There are all sorts of goods in the store.,Band3,1.5,5,0,124
观看,guānkàn,"verb: to watch (a performance, film, match, etc.) （formal）",我们一起观看了那部纪录片。,We watched that documentary together.,Band3,1.5,5,0,125
关系,guānxì,"noun: relationship / connection
verb (colloquial): to affect / to have to do with",他们的关系很好，这件事和他没有任何关系。,"They have a good relationship, and this matter has nothing to do with him.",Band3,1.5,5,0,126
观众,guānzhòng,noun: audience / spectators,观众们为表演者热烈鼓掌。,The audience gave the performers enthusiastic applause.,Band3,1.5,5,0,127
进步,jìnbù,"Noun: progress / improvement
Verb: to improve / to make progress",他的中文有了明显的进步。,His Chinese has clearly improved.,Band3,1.5,5,0,128
开放,kāifàng,"verb: to open up (access, markets, doors, etc.)
adjective: open-minded / liberal",这个国家正在逐步开放市场，社会也变得更开放了。,"This country is gradually opening its markets, and society is becoming more open-minded.",Band3,1.5,5,0,129
美好,měihǎo,"adjective: beautiful / wonderful (used for abstract things like memories, future)",我们一起度过了美好的时光。,"We spent some wonderful moments together.

",Band3,1.5,5,0,130
美术,měishù,"noun: fine arts (painting, sculpture, etc.)",她在大学学的是美术专业。,She studied fine arts in university.,Band3,1.5,5,0,131
面对,miànduì,verb: to face / to confront,我们要勇敢面对现实。,We must face reality with courage.,Band3,1.5,5,0,132
内容,nèiróng,"noun: content (of speech, writing, work, etc.)",这本书的内容非常有深度。,The content of this book is very profound.,Band3,1.5,5,0,133
公众,gōngzhòng,noun: the public,新的政策将向公众公布，征求意见。,The new policy will be announced to the public for feedback.,Band6,1.5,5,0,134
上网,shàngwǎng,verb: to go online / surf the internet,我每天晚上都会上网查资料。,I go online every night to look things up.,Band1,1.6,5,0,135
知识,zhīshi,noun: knowledge,他在历史方面的知识非常丰富。,He has a wealth of knowledge in history.,Band1,1.6,5,0,136
生活,shēnghuó,Life,他在城市里过着很简单的生活。,He lives a simple life in the city.,Band2,1.6,5,0,137
实现,shíxiàn,– to achieve / to realize,他终于实现了自己的梦想。,He finally achieved his dream.,Band2,1.6,5,0,138
想法,xiǎngfǎ,idea; opinion;thought,你的想法很有意思。,Your idea is very interesting.,Band2,1.6,5,0,139
心情,xīnqíng,mood,他今天心情不好,He’s in a bad mood today.,Band2,1.6,5,0,140
游客,yóukè,tourist,这个城市每年吸引很多游客。,This city attracts many tourists every year.,Band2,1.6,5,0,141
真正,zhēnzhèng,real / true,真正的朋友会在你需要时帮助你。,A true friend helps you when you need it.,Band2,1.6,5,0,142
年纪,niánjì,noun: age (of a person),她虽然年纪大了，但身体还很好。,"Although she’s old, she’s still in good health.",Band3,1.6,5,0,143
情况,qíngkuàng,noun: situation / condition / circumstances,我们必须先了解实际情况，再做决定。,We need to understand the actual situation before making a decision.,Band3,1.6,5,0,144
庆祝,qìngzhù,verb: to celebrate,我们打算举行聚会来庆祝他的生日。,We plan to hold a party to celebrate his birthday.,Band3,1.6,5,0,145
伤心,shāngxīn,adjective: sad / heartbroken,听到这个消息，她非常伤心。,She was heartbroken when she heard the news.,Band3,1.6,5,0,146
设计,shèjì,"verb: to design
noun: design / plan",她设计的这款家具在外观设计上非常新颖。,The furniture she designed is very innovative in design.,Band3,1.6,5,0,147
适合,shìhé,verb: to suit / to be suitable for,这份工作很适合你的性格。,This job suits your personality well.,Band3,1.6,5,0,148
幸福,xìngfú,"noun: happiness / well-being
adjective: happy",他们过着幸福的生活，每天都感到很幸福。,They live a happy life and feel happiness every day.,Band3,1.6,5,0,149
演员,yǎnyuán,noun: actor / actress,他是一位经验丰富的演员。,He is an experienced actor.,Band3,1.6,5,0,150
一切,yíqiè,noun/pronoun: everything / all,无论发生什么，我们都会一起面对一切。,"No matter what happens, we’ll face everything together.",Band3,1.6,5,0,151
由于,yóuyú,conjunction: due to / because of,由于天气不好，活动被取消了。,The event was canceled due to bad weather.,Band3,1.6,5,0,152
整齐,zhěngqí,adjective: neat / orderly / well-organized,学生们穿着整齐地排成一排。,The students lined up neatly in uniform.,Band3,1.6,5,0,153
只好,zhǐhǎo,adverb: have no choice but to / be forced to,车错过了，我们只好步行回家。,"We missed the bus, so we had no choice but to walk home.",Band3,1.6,5,0,154
招呼,zhāohu,verb: to greet / to call out to,他在路上看到我，热情地跟我打招呼。,He greeted me warmly when he saw me on the street.,Band4,1.6,5,0,155
清理,qīnglǐ,verb: to clean up / to clear out,他正在清理房间，把不用的东西都扔掉了。,He’s cleaning the room and threw out everything unnecessary.,Band5,1.6,5,0,156
报名,bàomíng,sign up,你报名参加比赛了吗？,Did you sign up for the competition?,Band2,1.7,5,0,157
服务,fúwù,service,这家饭店的服务很好,我们的工作是为客户服务,Band2,1.7,5,0,158
改变,gǎibiàn,change,你不想改变一下自己吗？,Don’t you want to change yourself a bit?,Band2,1.7,5,0,159
接下来,jiēxiàlái,"""next"" in a sequence of events, actions, or topics",接下来我们要讨论市场营销策略,"Next, we will discuss the marketing strategy.",Band2,1.7,5,0,160
目的,mùdì,objective,我们这次旅行的目的是放松一下。,The purpose of this trip is to relax.,Band2,1.7,5,0,161
球场,qiúchǎng,sports field / court,我们下午在球场上打篮球。,We’ll play basketball on the court this afternoon.,Band2,1.7,5,0,162
校园,xiàoyuán,campus,这个大学的校园很漂亮。,The campus of this university is beautiful.,Band2,1.7,5,0,163
新闻,xīnwén,news,我每天早上看新闻。,I watch the news every morning.,Band2,1.7,5,0,164
一般,yìbān,"adjective: Ordinary / Average
adverb: Usually / Generally
comparative: The same as / As … as …",我一般七点起床，去一份一般的工作。同事们一般都很友好，还开玩笑说我跑得跟风一般快。,I usually wake up at seven and go to an average job. My colleagues are generally friendly and even joke that I run as fast as the wind.,Band2,1.7,5,0,165
按照,ànzhào,according to,按照计划，我们明天出发。事态没有完全按照计划发展。,"According to the plan, we’ll leave tomorrow.",Band3,1.7,5,0,166
记录,jìlù,"verb: to record
noun: record / notes",请记录下会议内容，这份记录会上传给大家。,Please take notes during the meeting — the record will be shared with everyone.,Band3,1.7,5,0,167
课程,kèchéng,noun: course / curriculum,下学期我选修了三门新课程。,I’ve chosen three new courses for next semester.,Band3,1.7,5,0,168
利用,lìyòng,verb: to use / make use of,我们可以利用这段时间复习功课。,We can make use of this time to review the material.,Band3,1.7,5,0,169
生命,shēngmìng,noun: life (biological concept),我们应该珍惜每一条生命。,We should cherish every life.,Band3,1.7,5,0,170
文字,wénzì,noun: characters / script / written language,汉字是世界上最古老的文字之一。,Chinese characters are among the oldest scripts in the world.,Band3,1.7,5,0,171
制作,zhìzuò,"verb: to make / to produce (especially media, craft, food)",这部纪录片制作精良。,This documentary was excellently produced.,Band3,1.7,5,0,172
自从,zìcóng,preposition: since (a certain time),自从搬家后，我们联系少了。,We’ve been in touch less often since I moved.,Band3,1.7,5,0,173
