Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,
爱好,àihào,Hobby,我的[爱好]是画画和看书,1,5.1,5,
包子,bāozi,Bun,我早饭吃了两个[包子],1,3.4,5,
打车,dǎchē,take a taxi,太晚了，我们[打车]回家吧,1,Unknown,5,
地点,dìdiǎn,Please send me the [location/venue] of the meeting.,请把会议的[地点]发给我。,1,1.5,5,
地方,dìfang,This is really a good [place] to study.,这真是个学习的好[地方],1,1.2,5,
地方,dìfang,The [local] government is building a new road.,[地方]政府正在修建一条新路。,1,1.2,5,
地方,dìfang,There is no [room/space] on the bookshelf for more books.,书架上没有放书的[地方]了。,1,1.2,5,
地方,dìfang,He has many [aspects/points] that are worth my learning.,他有很多值得我学习的[地方]。,1,1.2,5,
电影院,diànyǐngyuàn,Cinema,我们晚上去[电影院]看电影吧,1,Unknown,5,
地图,dìtú,Map,我用[地图]找到了那家饭店,1,1.5,5,
汉字,hànzì,Chinese Characters,我每天练习写[汉字],Unknown,4.2,5,
行,xíng,You are really [competent/good] at this!,你在这方面真的很[行]！,1,Unknown,5,
行,xíng,"A: Let's go to the park tomorrow, [okay]? B: [Alright]!",A: 我们明天去公园，[行]吗？ B: [行]！,1,Unknown,5,
行,háng,Please write your name in the third [row/line].,请在第三[行]写下你的名字。,1,Unknown,5,
行,háng,He is the second oldest in his family [ranking].,他在家里大[行]排第二。,1,Unknown,5,
机票,jīpiào,plane ticket,你的[机票]买了吗,1,Unknown,5,
家人,jiārén,family,我很想念我的[家人],1,1.4,5,
见面,jiànmiàn,Let’s [meet] next week.,我们下周[见面]吧,1,2.6,5,
开车,kāichē,I don’t know how [to drive],我不会[开车]。,1,1.9,5,
开车,kāichē,"On the [drive] back, let's stop by a convenience stall.",[开车]回来的路上，我们去一下便利店吧。,1,1.9,5,
开车,kāichē,Let's [drive] to town.,我们[开车]进城吧。,1,1.9,5,
开车,kāichē,He is currently [driving] on the road.,他正在[开车]。,1,1.9,5,
课文,kèwén,main body of text within a lesson in a textbook or educational material,请大声朗读这篇课文,1,3.7,5,
路口,lùkǒu,intersection,到下一个路口右转,1,4.3,5,
门票,ménpiào,ticket,博物馆的门票多少钱？,1,4.4,5,
请假,qǐngjià,ask for leave,我明天要请假,1,6.5,5,
正在,zhèngzài,in process of,我正在吃饭,1,1.2,5,
重要,zhòngyào,important,家人对我来说最重要,1,1.3,5,
商场,shāngchǎng,noun: shopping mall / department store,这家商场今天打折，人特别多。,1,2.5,5,
商店,shāngdiàn,noun: shop / store,那家商店24小时营业，晚上也可以买东西。,1,3.8,5,
介绍,,He is [introducing] the startup process of this software to the majority of his new colleagues.,他正在向多数新同事介绍这款软件的开机流程。,1,1.4,,
介绍,jièshào,"His [introduction] was very detailed, but the network security issues mentioned in it sounded very scary.",他的介绍非常详细，但其中提到的网络安全问题听起来很可怕。,1,1.4,5,
上网,shàngwǎng,verb: to go online / surf the internet,我每天晚上都会上网查资料。,1,1.6,5,
天气,tiānqì,noun: weather but can also refer to the temperature of the environment,今天天气很好，适合去散步。,1,1.1,5,
外语,wàiyǔ,noun: foreign language,他明年打算去外国留学。,1,Unknown,5,
外国,wàiguó,noun: foreign country,她从小就对外语很感兴趣，现在能说三种语言。,1,3.5,5,
网友,wǎngyǒu,noun: online friend,我和一个网友聊了很久，后来还见了面,1,Unknown,5,
学院,xuéyuàn,"noun: college / institute
Specifcally: a single-subject institution (Arts, Music, Law), a branch inside a university, or Junior College (Singapore specific).",她就读于艺术学院，主修绘画。,1,Unknown,5,
页,yè,"noun: page (in a book, document, website)","请翻到书的第五十页。
",1,Unknown,5,
工人,gōngrén,"Worker, usually blue-collar workers or manual labourers",我的叔叔是一名工人,1,1.1,5,
机场,jīchǎng,Airport,我们明天早上去机场接他,1,3.2,5,
教学楼,jiàoxuélóu,Noun: specific term used to describe a building in a school or university dedicated entirely to teaching and learning.,她就读于艺术学院，主修绘画。,1,Unknown,5,
哪些,nǎxiē,which,你喜欢哪些电影？,1,1.5,5,
上班,shàngbān,go to work,我早上九点上班,1,1.8,哪些,你喜欢哪些电影？
哪些,nǎxiē,which,你喜欢哪些电影？,1,1.5,5,
知识,zhīshi,noun: knowledge,他在历史方面的知识非常丰富。,1,1.6,5,
贵,guì,noble,他出身于一个历史悠久的贵族家庭,1,Unknown,5,
认真,rènzhēn,adjective: serious; conscientious / adverb: seriously; earnestly,她工作的时候非常认真。,1,1.2,5,
爱情,àiqíng,Noun: romantic love / romance,爱情征服一切，我们必须屈从爱情。,2,Unknown,5,
爱人,àirén,"Noun: husband or wife / spouse
In mainland China and formal contexts, it is the standard way to refer to one’s legal spouse.",她的爱人很支持她的工作,2,7.15,5,
办公室,bàngōngshì,noun: office,我在办公室工作，每天朝九晚五。,2,1.4,5,
半夜,bànyè,in the middle of the night,不要半夜打电话给我,2,3.7,5,
报名,bàomíng,sign up,你报名参加比赛了吗？,2,1.7,5,
背,bēi,carry on the back,他背着一个很大的书包,2,Unknown,5,
遍,biàn,Times,这本书我读了三遍,2,Unknown,5,
变成,biànchéng,become; change into,水变成了冰,2,1.1,5,
