Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_Formal,Notes,_HSK,_Dao,ID
工人,gōngrén,"Worker, usually blue-collar workers or manual labourers",我的叔叔是一名工人,My uncle is a worker,Everyday,,Band1,1.1,2
天气,tiānqì,noun: weather but can also refer to the temperature of the environment,今天天气很好，适合去散步。,The weather is great today — perfect for a walk.,Everyday,,Band1,1.1,3
变成,biànchéng,become; change into,水变成了冰,Water turned into ice.,Everyday,,Band2,1.1,4
声音,shēngyīn,"Sound, voice, volume",这里的环境很吵，到处都是嘈杂的声音。老师的声音虽然好听，但是声音太小了，我听不清楚。,"Her voice was gentle and clear, like the sound of a summer breeze rustling through leaves.",Everyday,,Band2,1.1,5
地方,dìfang,"Noun: place / location / spot
Noun/Adjective: local / regional (as opposed to central/national)
Noun: space / room
Noun: part / point / respect / aspect",地方当局正在调查这起事件,The local authorities are investigating the incident,Everyday,,Band1,1.2,6
认真,rènzhēn,adjective: serious; conscientious / adverb: seriously; earnestly,她工作的时候非常认真。,She is very serious when she works.,Everyday,,Band1,1.2,7
正在,zhèngzài,in process of,我正在吃饭,I’m eating (right now).,Everyday,,Band1,1.2,8
参观,cānguān,visit,我们明天要去参观博物馆,We’re going to visit the museum tomorrow.,Neutral Formal,"More organized/polished than 去看. Common for museums, schools, factories, exhibitions. Still usable in normal chat.",Band2,1.2,9
草地,cǎodì,lawn,孩子们在草地上玩游戏,The kids are playing on the grass.,Everyday,,Band2,1.2,10
到处,dàochù,everywhere,节日的时候，城市里到处都是人,"During holidays, the city is full of people everywhere.",Everyday,,Band2,1.2,11
接着,jiēzhe,Next/then based on the sentence context,他吃完饭，接着去散步。,"He finished eating, then went for a walk.",Everyday,,Band2,1.2,12
难过,nánguò,sad / upset,听到这个消息我很难过。,I was very sad to hear the news.,Everyday,,Band2,1.2,13
所有,suǒyǒu,pronoun: all; every / noun: ownership; possession,所有学生都已经到了。,All the students have already arrived.,Neutral Formal,"Means “all.” More complete/polished than 全部 / 都 in some contexts, but still very common.",Band2,1.2,14
应该,yīnggāi,verb: should; ought to / adverb: probably,你应该早点告诉我这件事。,You should have told me about this earlier.,Everyday,,Band2,1.2,15
影响,yǐngxiǎng,Influence,天气会影响我们的旅行计划。,The weather might affect our travel plans.,Neutral Formal,"Common, but more abstract/polished than simple causal wording like 让……变得……. Good for explanations.",Band2,1.2,16
主人,zhǔrén,host / owner,狗一看到主人就高兴地跳起来。,狗一看到主人就高兴地跳起来。,Everyday,,Band2,1.2,17
