Chinese Words,pinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,_HSK,_Dao,Color
爱好,àihào,Hobby,我的爱好是画画和看书,My hobbies are painting and reading.,Band1,5.1,5
包子,bāozi,Bun,我早饭吃了两个包子,I ate two steamed buns for breakfast,Band1,3.4,5
车站,chēzhàn,noun: station; bus station,我们在车站见面吧。,Let’s meet at the station.,Band1,3.5,5
打车,dǎchē,take a taxi,太晚了，我们打车回家吧,"It’s too late, let’s take a taxi home",Band1,Unknown,5
电影院,diànyǐngyuàn,Cinema,我们晚上去电影院看电影吧,Let’s go to the cinema tonight,Band1,Unknown,5
地点,dìdiǎn,"location. This is used when referring to a specific spot where an event happens. It emphasizes the ""where"" of a plan or an occurrence.",会议将在市中心的一个新地点举行,The meeting will take place at a new location downtown.,Band1,1.5,5
地方,dìfang,"Noun: place / location / spot
Noun/Adjective: local / regional (as opposed to central/national)
Noun: space / room
Noun: part / point / respect / aspect",地方当局正在调查这起事件,The local authorities are investigating the incident,Band1,1.2,5
地图,dìtú,Map,我用地图找到了那家饭店,I used a map to find that restaurant,Band1,1.5,5
工人,gōngrén,"Worker, usually blue-collar workers or manual labourers",我的叔叔是一名工人,My uncle is a worker,Band1,1.1,5
贵,guì,noble,他出身于一个历史悠久的贵族家庭,He comes from a noble family with a long history.,Band1,Unknown,5
汉字,hànzì,Chinese Characters,我每天练习写汉字,I practice writing Chinese characters every day,Band1,4.2,5
见面,jiànmiàn,meet,我们下周见面吧,Let’s meet next week.,Band1,2.6,5
教学楼,jiàoxuélóu,Noun: specific term used to describe a building in a school or university dedicated entirely to teaching and learning.,我们的教室在第二教学楼,Our classroom is in the second academic building,Band1,Unknown,5
家人,jiārén,family,我很想念我的家人,I really miss my family.,Band1,1.4,5
机场,jīchǎng,Airport,我们明天早上去机场接他,We’re going to the airport tomorrow morning to pick him up,Band1,3.2,5
介绍,jièshào,"verb: to introduce

noun: introduction",老师先做了自我介绍，然后介绍了今天的课程安排。,"The teacher first introduced herself, then introduced the day’s lesson plan.",Band1,1.4,5
机票,jīpiào,plane ticket,你的机票买了吗,Did you buy your plane ticket?,Band1,Unknown,5
开车,kāichē,verb: to drive,我不会开车,I don’t know how to drive,Band1,1.9,5
课文,kèwén,main body of text within a lesson in a textbook or educational material,请大声朗读这篇课文,Please read the text aloud.,Band1,3.7,5
路口,lùkǒu,intersection,到下一个路口右转,Turn right at the next intersection.,Band1,4.3,5
门票,ménpiào,tickets,博物馆的门票多少钱？,How much is the museum ticket?,Band1,4.4,5
哪些,nǎxiē,which,你喜欢哪些电影？,Which movies do you like?,Band1,1.5,5
请假,qǐngjià,ask for leave,我明天要请假,I need to take a day off tomorrow.,Band1,6.5,5
认真,rènzhēn,adjective: serious; conscientious / adverb: seriously; earnestly,她工作的时候非常认真。,She is very serious when she works.,Band1,1.2,5
上班,shàngbān,go to work,我早上九点上班,I start work at 9 a.m.,Band1,1.8,5
商场,shāngchǎng,noun: shopping mall / department store,这家商场今天打折，人特别多。,This shopping mall is having a sale today — it's super crowded.,Band1,2.5,5
商店,shāngdiàn,noun: shop / store,那家商店24小时营业，晚上也可以买东西。,"That store is open 24 hours, so you can shop even at night.",Band1,3.8,5
上网,shàngwǎng,verb: to go online / surf the internet,我每天晚上都会上网查资料。,I go online every night to look things up.,Band1,1.6,5
天气,tiānqì,noun: weather but can also refer to the temperature of the environment,今天天气很好，适合去散步。,The weather is great today — perfect for a walk.,Band1,1.1,5
外国,wàiguó,noun: foreign country,他明年打算去外国留学。,He plans to study abroad next year.,Band1,3.5,5
外语,wàiyǔ,noun: foreign language,她从小就对外语很感兴趣，现在能说三种语言。,She’s been interested in foreign languages since young and can now speak three.,Band1,Unknown,5
网友,wǎngyǒu,noun: online friend,我和一个网友聊了很久，后来还见了面,"I chatted with an online friend for a long time, and we eventually met in person.",Band1,Unknown,5
行,xíng/ háng,"Pronounced as xíng
Adjective: capable / competent / good
Adjective/Interjection: okay / alright / permitted

Pronounced as háng 
Noun: row / line
Noun: seniority/ranking among siblings (older usage)",你在家里排行，处理这几行账目最行，如果我们现在去核对也行。,"You are the highest ranking (seniority) at home, you are the most capable at handling these few rows of accounts; it is also okay if we go and verify them now.",Band1,Unknown,5
学院,xuéyuàn,"noun: college / institute
Specifcally: a single-subject institution (Arts, Music, Law), a branch inside a university, or Junior College (Singapore specific).",她就读于艺术学院，主修绘画。,"She studies at an art college, majoring in painting.",Band1,Unknown,5
页,yè,"noun: page (in a book, document, website)","请翻到书的第五十页。
",Please turn to page 50 of the book.,Band1,Unknown,5
正在,zhèngzài,in process of,我正在吃饭,I’m eating (right now).,Band1,1.2,5
知识,zhīshi,noun: knowledge,他在历史方面的知识非常丰富。,He has a wealth of knowledge in history.,Band1,1.6,5
中间,zhōngjiān,noun: middle; center,他站在人群中间。,He stood in the middle of the crowd.,Band1,4.2,5
重要,zhòngyào,important,家人对我来说最重要,Family is the most important to me.,Band1,1.3,5
爱情,àiqíng,Noun: romantic love / romance,爱情征服一切，我们必须屈从爱情。,There is deep romantic love between them,Band2,Unknown,5
