1,2,3,4,5,6,7,8,9,10,Alt1,Alt2,Alt3,Alt4,Color
昨天,,我,看,,的,那本书,很有意思,,,我昨天看的那本书很有意思,,,,5
刚才,,他,发给我,,的,那个消息,很重要,,,他刚才发给我的那个消息很重要,,,,5
今天早上,,她,买,,的,那杯咖啡,已经冷了,,,她今天早上买的那杯咖啡已经冷了,,,,5
上个星期,,老师,教,,的,那个语法,不太难,,,老师上个星期教的那个语法不太难,,,,5
昨天晚上,,我们,讨论,,的,那个问题,还没解决,,,我们昨天晚上讨论的那个问题还没解决,,,,5
刚才,在桌上,你,放,,的,那支笔,是我的,,,你刚才在桌上放的那支笔是我的,刚才你在桌上放的那支笔是我的,,,5
今天,在公司,他,写,,的,那份报告,很清楚,,,他今天在公司写的那份报告很清楚,今天他在公司写的那份报告很清楚,,,5
昨天,在学校,她,拍,,的,那张照片,很漂亮,,,她昨天在学校拍的那张照片很漂亮,昨天她在学校拍的那张照片很漂亮,,,5
上个月,,我朋友,推荐给我,,的,那家餐厅,很贵,,,我朋友上个月推荐给我的那家餐厅很贵,,,,5
今天早上,,妈妈,做,,的,那个早餐,很好吃,,,妈妈今天早上做的那个早餐很好吃,,,,5
昨天,在网上,我,找到,,的,那个资料,很有用,,,我昨天在网上找到的那个资料很有用,昨天我在网上找到的那个资料很有用,,,5
刚才,,你,说,,的,那句话,有点奇怪,,,你刚才说的那句话有点奇怪,,,,5
上个星期,,他,借给我,,的,那本书,我看完了,,,他上个星期借给我的那本书我看完了,上个星期他借给我的那本书我看完了,我看完了上个星期他借给我的那本书,,5
今天下午,,公司,发给员工,,的,那封电邮,很长,,,今天下午公司发给员工的那封电邮很长,公司今天下午发给员工的那封电邮很长,,,5
昨天,在教室里,我,忘记拿走,,的,那个包,找到了,,,我昨天在教室里忘记拿走的那个包找到了,昨天我在教室里忘记拿走的那个包找到了,,,5
今天,,她,穿,,的,那件衣服,很好看,,,她今天穿的那件衣服很好看,,,,5
刚才,在门口,我,看到,,的,那个人,是新同事,,,我刚才在门口看到的那个人是新同事,刚才我在门口看到的那个人是新同事,,,5
上个星期,,你,给老师,,的,那份作业,有几个错误,,,你上个星期给老师的那份作业有几个错误,,,,5
昨天晚上,,他,听,,的,那首歌,很好听,,,他昨天晚上听的那首歌很好听,,,,5
今天早上,在车站,我们,等,,的,那辆巴士,来得很晚,,,今天早上我们在车站等的那辆巴士来得很晚,我们今天早上在车站等的那辆巴士来得很晚,,,5
昨天晚上,在家里,我,看完,,的,那部电影,比我想的好看,,,我昨天晚上在家里看完的那部电影比我想的好看,昨天晚上我在家里看完的那部电影比我想的好看,,,5
今天早上,在会议里,老板,提到,,的,那个问题,需要今天解决,,,今天早上老板在会议里提到的那个问题需要今天解决,老板今天早上在会议里提到的那个问题需要今天解决,,,5
上个星期,在图书馆,她,借给我,,的,那本书,我还没看完,,,上个星期她在图书馆借给我的那本书我还没看完,她上个星期在图书馆借给我的那本书我还没看完,我还没看完上个星期她在图书馆借给我的那本书,我还没看完她上个星期在图书馆借给我的那本书,5
刚才,在群里,你,发给大家,,的,那个通知,写得很清楚,,,刚才你在群里发给大家的那个通知写得很清楚,你刚才在群里发给大家的那个通知写得很清楚,,,5
昨天,在公司,我们,讨论过,,的,那个计划,现在要修改,,,昨天我们在公司讨论过的那个计划现在要修改,我们昨天在公司讨论过的那个计划现在要修改,,,5
今天下午,在课上,老师,解释清楚,,的,那个语法点,我终于听懂了,,,今天下午老师在课上解释清楚的那个语法点我终于听懂了,老师今天下午在课上解释清楚的那个语法点我终于听懂了,我终于听懂了今天下午老师在课上解释清楚的那个语法点,我终于听懂了老师今天下午在课上解释清楚的那个语法点,5
上个月,在网上,他,买回来,,的,那台电脑,已经坏了,,,上个月他在网上买回来的那台电脑已经坏了,他上个月在网上买回来的那台电脑已经坏了,,,5
刚才,在门口,我,差点撞到,,的,那个人,原来是经理,,,刚才我在门口差点撞到的那个人原来是经理,我刚才在门口差点撞到的那个人原来是经理,,,5
昨天晚上,在厨房,妈妈,做好,,的,那道菜,被弟弟吃完了,,,昨天晚上妈妈在厨房做好的那道菜被弟弟吃完了,妈妈昨天晚上在厨房做好的那道菜被弟弟吃完了,被弟弟吃完了昨天晚上妈妈在厨房做好的那道菜,,5
今天早上,在桌上,你,忘记拿走,,的,那份文件,我帮你收起来了,,,今天早上你在桌上忘记拿走的那份文件我帮你收起来了,你今天早上在桌上忘记拿走的那份文件我帮你收起来了,我帮你收起来了今天早上你在桌上忘记拿走的那份文件,我帮你收起来了你今天早上在桌上忘记拿走的那份文件,5
上个星期,在学校,她,交给老师,,的,那篇作文,得了很高的分数,,,上个星期她在学校交给老师的那篇作文得了很高的分数,她上个星期在学校交给老师的那篇作文得了很高的分数,,,5
昨天,在电话里,他,没有说清楚,,的,那件事,让我有点担心,,,昨天他在电话里没有说清楚的那件事让我有点担心,他昨天在电话里没有说清楚的那件事让我有点担心,,,5
今天下午,在办公室,同事,给我看,,的,那张照片,看起来很奇怪,,,今天下午同事在办公室给我看的那张照片看起来很奇怪,同事今天下午在办公室给我看的那张照片看起来很奇怪,,,5
上个月,在那家店,我们,买到,,的,那个礼物,她非常喜欢,,,上个月我们在那家店买到的那个礼物她非常喜欢,我们上个月在那家店买到的那个礼物她非常喜欢,她非常喜欢上个月我们在那家店买到的那个礼物,她非常喜欢我们上个月在那家店买到的那个礼物,5
刚才,在路边,我,捡到,,的,那把钥匙,可能是邻居的,,,刚才我在路边捡到的那把钥匙可能是邻居的,我刚才在路边捡到的那把钥匙可能是邻居的,,,5
昨天晚上,在网上,你,找到,,的,那个资料,可以放进报告里,,,昨天晚上你在网上找到的那个资料可以放进报告里,你昨天晚上在网上找到的那个资料可以放进报告里,,,5
今天,在公司,他,做完,,的,那份工作,比平时复杂,,,今天他在公司做完的那份工作比平时复杂,他今天在公司做完的那份工作比平时复杂,,,5
上个星期,在车站,我,等了很久,,的,那辆巴士,最后还是没来,,,上个星期我在车站等了很久的那辆巴士最后还是没来,我上个星期在车站等了很久的那辆巴士最后还是没来,,,5
昨天,在教室里,学生,问老师,,的,那个问题,其实很重要,,,昨天学生在教室里问老师的那个问题其实很重要,学生昨天在教室里问老师的那个问题其实很重要,,,5
今天早上,在电梯里,我,听不懂,,的,那句话,后来朋友解释给我听,,,今天早上我在电梯里听不懂的那句话后来朋友解释给我听,我今天早上在电梯里听不懂的那句话后来朋友解释给我听,,,5
我,昨天,没有,看懂,的,那段说明,老师,又解释了,一次,,昨天我没有看懂的那段说明老师又解释了一次,老师又解释了一次我昨天没有看懂的那段说明,老师又解释了一次昨天我没有看懂的那段说明,,5
刚才,在门口,等他,的,那些人,已经,走了,,,,在门口刚才等他的那些人已经走了,,,,5
你,上个星期,发给我,的,那个文件,我,还没,看完,,,上个星期你发给我的那个文件我还没看完,我还没看完你上个星期发给我的那个文件,我还没看完上个星期你发给我的那个文件,,5
我们,昨晚,讨论过,的,那个计划,现在,要重新,修改,,,昨晚我们讨论过的那个计划现在要重新修改,现在要重新修改我们昨晚讨论过的那个计划,,,5
他,下班后,买回来,的,那份晚餐,已经,冷了,,,,下班后他买回来的那份晚餐已经冷了,,,,5
我,刚才,差点,删除,的,那个文件,其实,很重要,,,刚才我差点删除的那个文件其实很重要,,,,5
她,小时候,住过,的,那栋楼,现在,已经,拆掉了,,,小时候她住过的那栋楼现在已经拆掉了,,,,5
你,昨天,借给我,的,那本书,我,今天,看完了,,,昨天你借给我的那本书我今天看完了,我今天看完了你昨天借给我的那本书,今天我看完了你昨天借给我的那本书,,5
公司,早上,发给员工,的,那封邮件,内容,有点,不清楚,,,早上公司发给员工的那封邮件内容有点不清楚,,,,5
他,刚才,没说清楚,的,那件事,让我,有点,担心,,,刚才他没说清楚的那件事让我有点担心,,,,5
她,考试前,复习过,的,那几页笔记,正好,考到了,,,,考试前她复习过的那几页笔记正好考到了,,,,5
我们,去年,参观过,的,那所学校,比,想象中,大很多,,,去年我们参观过的那所学校比想象中大很多,,,,5
你,早上,忘在桌上,的,那支笔,我,帮你,收起来了,,,早上你忘在桌上的那支笔我帮你收起来了,我帮你收起来了你早上忘在桌上的那支笔,,,5
他,一直,想加入,的,那个团队,最近,开始,招人了,,,最近他一直想加入的那个团队开始招人了,,,,5
她,昨晚,没来得及,回复,的,那封邮件,今天,才处理,,,昨晚她没来得及回复的那封邮件今天才处理,今天才处理她昨晚没来得及回复的那封邮件,,,5
我们,刚才,听不太懂,的,那句话,朋友,又翻译了,一遍,,,刚才我们听不太懂的那句话朋友又翻译了一遍,朋友又翻译了一遍我们刚才听不太懂的那句话,,,5
如果,你,看不懂,那段说明,就,问,老师,,,,那段说明如果你看不懂就问老师,如果那段说明你看不懂就问老师,,,5
如果,明天,下雨,我们,就,不去,公园,,,,明天如果下雨我们就不去公园,,,,5
如果,他,还没到,公司,我,就,先开始,会议,,,他如果还没到公司我就先开始会议,,,,5
如果,你,忘了,密码,就,重新,设置,,,,密码如果你忘了就重新设置,如果密码你忘了就重新设置,,,5
如果,老师,没解释清楚,这个语法,我们,就,再问,一次,,,老师如果没解释清楚这个语法我们就再问一次,如果这个语法老师没解释清楚我们就再问一次,这个语法如果老师没解释清楚我们就再问一次,,5
如果,这个文件,很重要,你,就,先保存,一份,,,,这个文件如果很重要你就先保存一份,,,,5
如果,你,今天,没空,我们,就,明天,再说,,,今天如果你没空我们就明天再说,你今天如果没空我们就明天再说,如果今天你没空我们就明天再说,,5
如果,他,说得太快,你,就,请他,慢一点,,,,他如果说得太快你就请他慢一点,,,,5
如果,巴士,还没来,我们,就,先坐,地铁,,,,巴士如果还没来我们就先坐地铁,,,,5
如果,你,做完,作业,就,可以,休息,一下,,,你如果做完作业就可以休息一下,如果作业你做完就可以休息一下,作业如果你做完就可以休息一下,,5
只要,你,每天,练习,中文,就,会进步,,,,你只要每天练习中文就会进步,,,,5
只要,他,说清楚,原因,我们,就,可以理解,,,,他只要说清楚原因我们就可以理解,原因只要他说清楚我们就可以理解,只要原因他说清楚我们就可以理解,,5
只要,你,记得,带钥匙,就,不会,进不了门,,,,你只要记得带钥匙就不会进不了门,,,,5
只要,这个方法,有用,我们,就,继续,用它,,,,这个方法只要有用我们就继续用它,,,,5
只要,她,愿意,帮忙,事情,就,会容易,很多,,,她只要愿意帮忙事情就会容易很多,,,,5
只要,你,听得懂,大概意思,就,不用,每个字,都懂,,,你只要听得懂大概意思就不用每个字都懂,大概意思只要你听得懂就不用每个字都懂,只要大概意思你听得懂就不用每个字都懂,,5
只要,今天,不下雨,我们,就,去,打球,,,,今天只要不下雨我们就去打球,,,,5
只要,你,把问题,说清楚,老师,就,能帮你,,,,你只要把问题说清楚老师就能帮你,,,,5
只要,我们,先做完,这部分,就,可以,早点下班,,,,我们只要先做完这部分就可以早点下班,这部分只要我们先做完就可以早点下班,只要这部分我们先做完就可以早点下班,,5
如果,你,找不到,那个文件,就,检查,下载夹,,,,你如果找不到那个文件就检查下载夹,那个文件如果你找不到就检查下载夹,如果那个文件你找不到就检查下载夹,,5
如果,他,今天,要上班,我们,就,晚点,见面,,,他今天如果要上班我们就晚点见面,今天如果他要上班我们就晚点见面,他如果今天要上班我们就晚点见面,,5
如果,你,不确定,答案,就,先猜,一个,,,,你如果不确定答案就先猜一个,答案如果你不确定就先猜一个,如果答案你不确定就先猜一个,,5
如果,这个字,你,不认识,就,查一下,意思,,,,这个字如果你不认识就查一下意思,如果你不认识这个字就查一下意思,,,5
如果,她,已经,回家了,我,就,明天,再问,,,她如果已经回家了我就明天再问,,,,5
如果,今天,人太多,我们,就,换一家,餐厅,,,,今天如果人太多我们就换一家餐厅,,,,5
如果,你,觉得,太难,就,先做,简单的,,,,你如果觉得太难就先做简单的,,,,5
如果,他,没带,电脑,就,用,我的,,,,他如果没带电脑就用我的,电脑如果他没带就用我的,如果电脑他没带就用我的,,5
只要,你,先保存,文件,就,不怕,突然关机,,,,你只要先保存文件就不怕突然关机,文件只要你先保存就不怕突然关机,只要文件你先保存就不怕突然关机,,5
只要,他,准时,回复,我们,就,能继续,做,,,他只要准时回复我们就能继续做,,,,5
只要,你,多听,中文,就,会慢慢,听懂,,,,你只要多听中文就会慢慢听懂,,,,5
只要,这个解释,够清楚,学生,就,不会,搞混,,,,这个解释只要够清楚学生就不会搞混,,,,5
只要,她,认真,练习,发音,就,会变得,更自然,,,她只要认真练习发音就会变得更自然,发音只要她认真练习就会变得更自然,,,5
只要,我们,今天,做完,这部分,就,可以休息,,,,我们只要今天做完这部分就可以休息,今天只要我们做完这部分就可以休息,这部分只要我们今天做完就可以休息,,5
只要,他,不迟到,会议,就,可以,准时开始,,,,他只要不迟到会议就可以准时开始,会议只要他不迟到就可以准时开始,,,5
只要,你,记得,复习,昨天的内容,就,不容易,忘,,,你只要记得复习昨天的内容就不容易忘,昨天的内容只要你记得复习就不容易忘,,,5
只要,这个网站,能帮你,记单词,就,值得,继续做,,,,这个网站只要能帮你记单词就值得继续做,,,,5
我,下班之后,就,回家,做饭,,,,,,下班之后我就回家做饭,,,,5
他,看完说明以后,才,开始,安装软件,,,,,,看完说明以后他才开始安装软件,,,,5
她,做完作业之后,就,去,洗澡,,,,,,做完作业之后她就去洗澡,,,,5
我们,讨论清楚以后,才,决定,怎么做,,,,,,讨论清楚以后我们才决定怎么做,,,,5
你,听懂规则之后,就,可以,开始游戏,,,,,,听懂规则之后你就可以开始游戏,,,,5
老师,解释完以后,学生,才,明白,这个语法,,,,,这个语法老师解释完以后学生才明白,,,,5
我,到公司之后,就,打开,电脑,,,,,,到公司之后我就打开电脑,,,,5
他,收到邮件以后,才,知道,时间改了,,,,,,收到邮件以后他才知道时间改了,,,,5
她,买完东西之后,就,坐地铁,回家,,,,,,买完东西之后她就坐地铁回家,,,,5
我们,吃完晚饭以后,才,继续,做项目,,,,,,吃完晚饭以后我们才继续做项目,,,,5
你,保存文件之后,就,不用,担心丢失,,,,,,保存文件之后你就不用担心丢失,,,,5
他,说清楚原因以后,我们,才,理解,他的决定,,,,,,,,,5
我,查完生词之后,就,重新,读那句话,,,,,,查完生词之后我就重新读那句话,,,,5
她,练习几次以后,才,说得,比较自然,,,,,,练习几次以后她才说得比较自然,,,,5
我们,到车站之后,才,发现,巴士走了,,,,,,到车站之后我们才发现巴士走了,,,,5
你,看完例句以后,就,更容易,记住用法,,,,,,看完例句以后你就更容易记住用法,,,,5
他,关掉电脑之后,就,离开,办公室,,,,,,关掉电脑之后他就离开办公室,,,,5
我,问过老师以后,才,知道,答案,,,,,,问过老师以后我才知道答案,,,,5
她,看见消息之后,就,马上,回复我,,,,,,看见消息之后她就马上回复我,,,,5
我们,做完这部分以后,才,可以,早点休息,,,,,,做完这部分以后我们才可以早点休息,,,,5
如果,你看完,我发给你,的,那个文件,就,告诉我,你的想法,,,如果我发给你的那个文件你看完就告诉我你的想法,,,,5
如果,他收到,公司发来,的,那封邮件,就,会知道,时间改了,,,如果公司发来的那封邮件他收到就会知道时间改了,,,,5
只要,你记住,昨天学过,的,那些句子,就,不容易,搞混,,,只要昨天学过的那些句子你记住就不容易搞混,,,,5
她,回家之后,就,打开,老师发来,的,那个资料,,,,回家之后她就打开老师发来的那个资料,,,,5
我们,讨论完,这个问题以后,才,修改,昨天写,的,那份报告,,,讨论完这个问题以后我们才修改昨天写的那份报告,,,,5
只要,你保存好,刚才做完,的,那个文件,就,不怕,丢失,,,只要刚才做完的那个文件你保存好就不怕丢失,,,,5
只要,她看懂,这本书里,的,那段说明,就,可以,自己操作,,,只要这本书里的那段说明她看懂就可以自己操作,,,,5
