Chinese Words,pinyin,English Words,Chinese Sentence,_HSK,_Dao,Color,Encountered,ID,Formal
天气,tiānqì,noun: weather but can also refer to the temperature of the environment,今天天气很好，适合去散步。,1,1.1,5,0,2,
工人,gōngrén,"Worker, usually blue-collar workers or manual labourers",我的叔叔是一名工人,1,1.1,5,0,3,
变成,biànchéng,become; change into,水变成了冰,2,1.1,5,0,4,
声音,shēngyīn,"Sound, voice, volume",这里的环境很吵，到处都是嘈杂的声音。老师的声音虽然好听，但是声音太小了，我听不清楚。,2,1.1,5,0,5,
地方,dìfang,This is really a good [place] to study.,这真是个学习的好[地方],1,1.2,5,0,6,
地方,dìfang,The [local] government is building a new road.,[地方]政府正在修建一条新路。,1,1.2,5,0,7,
地方,dìfang,There is no [room/space] on the bookshelf for more books.,书架上没有放书的[地方]了。,1,1.2,5,0,8,
地方,dìfang,He has many [aspects/points] that are worth my learning.,他有很多值得我学习的[地方]。,1,1.2,5,0,9,
正在,zhèngzài,in process of,我正在吃饭,1,1.2,5,0,10,
认真,rènzhēn,adjective: serious; conscientious / adverb: seriously; earnestly,她工作的时候非常认真。,1,1.2,5,0,11,
参观,cānguān,visit,我们明天要去参观博物馆,2,1.2,5,0,12,
草地,cǎodì,lawn,孩子们在草地上玩游戏,2,1.2,5,0,13,
到处,dàochù,everywhere,节日的时候，城市里到处都是人,2,1.2,5,0,14,
接着,jiēzhe,Next/then based on the sentence context,他吃完饭，接着去散步。,2,1.2,5,0,15,
难过,nánguò,sad / upset,听到这个消息我很难过。,2,1.2,5,0,16,
所有,suǒyǒu,pronoun: all; every / noun: ownership; possession,所有学生都已经到了。,2,1.2,5,0,17,
应该,yīnggāi,verb: should; ought to / adverb: probably,你应该早点告诉我这件事。,2,1.2,5,0,18,
影响,yǐngxiǎng,Influence,天气会影响我们的旅行计划。,2,1.2,5,0,19,
主人,zhǔrén,host / owner,狗一看到主人就高兴地跳起来。,2,1.2,5,0,20,
传来,chuánlái,"verb: (of sound, smell, etc.) to come through / to be heard from afar",厨房传来饭菜的香味和笑声。,3,1.2,5,0,21,
从来,cónglái,adverb: always (in the past) / never (when used with negative),我从来没有看过这么奇怪的东西。,3,1.2,5,0,22,
