_Chinese,English,_EN1,_CN1,_EN2,_CN2,_EN3,_CN3,_EN1 Target,_EN2 Targe,_EN3 Target,Color
一会儿,a short while; a moment; for a while,Please wait for a moment; I will be back soon.,请等一会儿，我很快就回来。,I studied for a while before dinner.,晚饭前，我学习了一会儿。,It started raining after a short while.,过了一会儿，天开始下雨了。,for a moment,for a while,after a short while,5
一向,always; consistently,He has always been very careful at work.,他一向工作很小心。,She has always liked quiet places.,她一向喜欢安静的地方。,This shop has always been popular with students.,这家店一向很受学生欢迎。,always,always,always,5
一定,definitely; certainly; must,You must call me after you arrive.,你到了以后一定要给我打电话。,He will definitely pass the exam this time.,他这次一定会通过考试。,We must finish this report today.,我们今天一定要把这份报告做完。,must,definitely,must,5
一方面,on one hand; on the one hand,"On one hand, this plan saves money.",一方面，这个计划可以省钱。,"On one hand, I want to help him.",一方面，我想帮他。,"On one hand, online classes are convenient.",一方面，网课很方便。,On one hand,On one hand,On one hand,5
一旦,once; as soon as,"Once you make a decision, do not regret it.",一旦你做了决定，就不要后悔。,"Once it starts raining, the road becomes slippery.",一旦下雨，路就会变滑。,"Once he finds out the truth, he will be angry.",一旦他知道真相，他会很生气。,Once,Once,Once,5
一时,for a moment; temporarily; suddenly,I could not remember his name for a moment.,我一时想不起他的名字。,She was temporarily unable to accept the result.,她一时无法接受这个结果。,He suddenly did not know what to say.,他一时不知道该说什么。,for a moment,temporarily,suddenly,5
一时之间,for a short moment; all of a sudden; at that moment,"For a short moment, everyone became quiet.",一时之间，大家都安静了下来。,"All of a sudden, I did not know how to answer.",一时之间，我不知道该怎么回答。,"At that moment, the room felt very awkward.",一时之间，房间里的气氛很尴尬。,For a short moment,All of a sudden,At that moment,5
一直,continuously; all along; always,He waited continuously until midnight.,他一直等到半夜。,I have always wanted to visit Beijing.,我一直想去北京看看。,The child kept crying all along the way.,那个孩子一路上一直在哭。,continuously,always,all along,5
一直以来,all along; ever since then; for a long time,"All along, he has supported my decision.",一直以来，他都支持我的决定。,"For a long time, this problem has not been solved.",一直以来，这个问题都没有解决。,"Ever since then, she has worked very hard.",一直以来，她都很努力。,All along,For a long time,Ever since then,5
一般,generally; ordinary; average,His Chinese level is average.,他的中文水平一般。,I generally wake up at seven.,我一般七点起床。,This restaurant is just ordinary.,这家餐厅很一般。,average,generally,ordinary,5
一般来说,generally speaking,"Generally speaking, this method is more reliable.",一般来说，这个方法比较可靠。,"Generally speaking, students prefer simple examples.",一般来说，学生比较喜欢简单的例子。,"Generally speaking, winter here is not very cold.",一般来说，这里的冬天不太冷。,Generally speaking,Generally speaking,Generally speaking,5
一起,together,We went to the library together.,我们一起去了图书馆。,Let us solve this problem together.,我们一起解决这个问题吧。,They grew up together.,他们是一起长大的。,together,together,together,5
一边,while; at the same time,He listened to music while doing homework.,他一边听音乐，一边做作业。,She smiled while talking to me.,她一边笑，一边跟我说话。,I walked while thinking about the problem.,我一边走，一边想这个问题。,while,while,while,5
一面,while; at the same time,He watched TV while eating dinner.,他一面看电视，一面吃晚饭。,She comforted him while wiping her tears.,她一面擦眼泪，一面安慰他。,The teacher explained while writing on the board.,老师一面讲解，一面在黑板上写字。,while,while,while,5
上面,above; on top; the above,The book is on top of the table.,书在桌子上面。,The answer is written above the picture.,答案写在图片上面。,The above sentence is very useful.,上面的句子很有用。,on top of,above,above,5
下面,below; underneath; the following,The cat is underneath the chair.,猫在椅子下面。,Please write your name below the line.,请把你的名字写在线下面。,The following example is more difficult.,下面的例子比较难。,underneath,below,following,5
不一定,not necessarily; maybe not,Expensive things are not necessarily better.,贵的东西不一定更好。,He may not come tomorrow.,他明天不一定会来。,A quiet person is not necessarily shy.,安静的人不一定害羞。,not necessarily,may not,not necessarily,5
不久,soon; before long,He came back soon.,他不久就回来了。,"Before long, everyone knew the news.",不久，大家都知道了这个消息。,The rain stopped soon after we arrived.,我们到了以后，雨不久就停了。,soon,Before long,soon,5
不仅,not only,"He not only speaks Chinese, but also writes it well.",他不仅会说中文，而且写得也很好。,"This book is not only interesting, but also useful.",这本书不仅有趣，而且很有用。,"She not only helped me, but also encouraged me.",她不仅帮了我，还鼓励了我。,not only,not only,not only,5
不仅仅,not merely; not just,This is not just a grammar problem.,这不仅仅是一个语法问题。,Learning Chinese is not merely memorizing words.,学中文不仅仅是背单词。,His success was not just because of luck.,他的成功不仅仅是因为运气。,not just,not merely,not just,5
不但,not only,"He not only finished the work, but also finished it early.",他不但完成了工作，而且提前完成了。,"This phone is not only cheap, but also easy to use.",这部手机不但便宜，而且好用。,"She not only apologized, but also explained the reason.",她不但道歉了，还解释了原因。,not only,not only,not only,5
不再,no longer; not anymore,He no longer lives here.,他不再住在这里。,I do not want to wait anymore.,我不再想等了。,This rule is no longer useful.,这个规则不再有用了。,no longer,not anymore,no longer,5
不得不,have no choice but to; have to,I had no choice but to tell him the truth.,我不得不告诉他真相。,"Because it was raining heavily, we had to cancel the trip.",因为雨下得很大，我们不得不取消旅行。,She had no choice but to accept the result.,她不得不接受这个结果。,had no choice but to,had to,had no choice but to,5
不断,continuously; constantly,He constantly makes the same mistake.,他不断犯同样的错误。,The company is continuously improving its products.,公司不断改进自己的产品。,The number of students is constantly increasing.,学生的人数不断增加。,constantly,continuously,constantly,5
不是,is not; not,This is not my bag.,这不是我的包。,He is not angry; he is just tired.,他不是生气，只是累了。,"The problem is not money, but time.",问题不是钱，而是时间。,is not,is not,is not,5
