Chinese Words,_apinyin,English Words,Chinese Usage in a Sentence,English Usage in a sentence,Chinese Usage in a Sentence Hint,Band 0 HSK,Dao,Color
爱好,àihào,Hobby,我的爱好是画画和看书,My hobbies are painting and reading.,我的__是画画和看书,Band1,5.1,5
包子,bāozi,Bun,我早饭吃了两个包子,I ate two steamed buns for breakfast,我早饭吃了两个__,Band1,3.4,5
车站,chēzhàn,noun: station; bus station,我们在车站见面吧。,Let’s meet at the station.,我们在__见面吧。,Band1,3.5,5
打车,dǎchē,take a taxi,太晚了，我们打车回家吧,"It’s too late, let’s take a taxi home",太晚了，我们__回家吧,Band1,Unknown,5
电影院,diànyǐngyuàn,Cinema,我们晚上去电影院看电影吧,Let’s go to the cinema tonight,我们晚上去__看电影吧,Band1,Unknown,5
地点,dìdiǎn,"location. This is used when referring to a specific spot where an event happens. It emphasizes the ""where"" of a plan or an occurrence.",会议将在市中心的一个新地点举行,The meeting will take place at a new location downtown.,会议将在市中心的一个新__举行,Band1,1.5,5
地方,dìfang,"Noun: place / location / spot
Noun/Adjective: local / regional (as opposed to central/national)
Noun: space / room
Noun: part / point / respect / aspect",地方当局正在调查这起事件,The local authorities are investigating the incident,__当局正在调查这起事件,Band1,1.2,5
地图,dìtú,Map,我用地图找到了那家饭店,I used a map to find that restaurant,我用__找到了那家饭店,Band1,1.5,5
工人,gōngrén,"Worker, usually blue-collar workers or manual labourers",我的叔叔是一名工人,My uncle is a worker,我的叔叔是一名__,Band1,1.1,5
贵,guì,noble,他出身于一个历史悠久的贵族家庭,He comes from a noble family with a long history.,他出身于一个历史悠久的__族家庭,Band1,Unknown,5
汉字,hànzì,Chinese Characters,我每天练习写汉字,I practice writing Chinese characters every day,我每天练习写__,Band1,4.2,5
见面,jiànmiàn,meet,我们下周见面吧,Let’s meet next week.,我们下周__吧,Band1,2.6,5
教学楼,jiàoxuélóu,Noun: specific term used to describe a building in a school or university dedicated entirely to teaching and learning.,我们的教室在第二教学楼,Our classroom is in the second academic building,我们的教室在第二__,Band1,Unknown,5
家人,jiārén,family,我很想念我的家人,I really miss my family.,我很想念我的__,Band1,1.4,5
机场,jīchǎng,Airport,我们明天早上去机场接他,We’re going to the airport tomorrow morning to pick him up,我们明天早上去__接他,Band1,3.2,5
介绍,jièshào,"verb: to introduce

noun: introduction",老师先做了自我介绍，然后介绍了今天的课程安排。,"The teacher first introduced herself, then introduced the day’s lesson plan.",老师先做了自我__，然后__了今天的课程安排。,Band1,1.4,5
机票,jīpiào,plane ticket,你的机票买了吗,Did you buy your plane ticket?,你的__买了吗,Band1,Unknown,5
开车,kāichē,verb: to drive,我不会开车,I don’t know how to drive,我不会__,Band1,1.9,5
课文,kèwén,main body of text within a lesson in a textbook or educational material,请大声朗读这篇课文,Please read the text aloud.,请大声朗读这篇__,Band1,3.7,5
路口,lùkǒu,intersection,到下一个路口右转,Turn right at the next intersection.,到下一个__右转,Band1,4.3,5
门票,ménpiào,tickets,博物馆的门票多少钱？,How much is the museum ticket?,博物馆的__多少钱？,Band1,4.4,5
哪些,nǎxiē,which,你喜欢哪些电影？,Which movies do you like?,你喜欢__电影？,Band1,1.5,5
请假,qǐngjià,ask for leave,我明天要请假,I need to take a day off tomorrow.,我明天要__,Band1,6.5,5
认真,rènzhēn,adjective: serious; conscientious / adverb: seriously; earnestly,她工作的时候非常认真。,She is very serious when she works.,她工作的时候非常__。,Band1,1.2,5
上班,shàngbān,go to work,我早上九点上班,I start work at 9 a.m.,我早上九点__,Band1,1.8,5
商场,shāngchǎng,noun: shopping mall / department store,这家商场今天打折，人特别多。,This shopping mall is having a sale today — it's super crowded.,这家__今天打折，人特别多。,Band1,2.5,5
商店,shāngdiàn,noun: shop / store,那家商店24小时营业，晚上也可以买东西。,"That store is open 24 hours, so you can shop even at night.",那家__24小时营业，晚上也可以买东西。,Band1,3.8,5
上网,shàngwǎng,verb: to go online / surf the internet,我每天晚上都会上网查资料。,I go online every night to look things up.,我每天晚上都会__查资料。,Band1,1.6,5
天气,tiānqì,noun: weather but can also refer to the temperature of the environment,今天天气很好，适合去散步。,The weather is great today — perfect for a walk.,今天__很好，适合去散步。,Band1,1.1,5
外国,wàiguó,noun: foreign country,他明年打算去外国留学。,He plans to study abroad next year.,他明年打算去__留学。,Band1,3.5,5
外语,wàiyǔ,noun: foreign language,她从小就对外语很感兴趣，现在能说三种语言。,She’s been interested in foreign languages since young and can now speak three.,她从小就对__很感兴趣，现在能说三种语言。,Band1,Unknown,5
网友,wǎngyǒu,noun: online friend,我和一个网友聊了很久，后来还见了面,"I chatted with an online friend for a long time, and we eventually met in person.",我和一个__聊了很久，后来还见了面,Band1,Unknown,5
行,xíng/ háng,"Pronounced as xíng
Adjective: capable / competent / good
Adjective/Interjection: okay / alright / permitted

Pronounced as háng 
Noun: row / line
Noun: seniority/ranking among siblings (older usage)",你在家里排行，处理这几行账目最行，如果我们现在去核对也行。,"You are the highest ranking (seniority) at home, you are the most capable at handling these few rows of accounts; it is also okay if we go and verify them now.",你在家里排__，处理这几__账目最__，如果我们现在去核对也__。,Band1,Unknown,5
学院,xuéyuàn,"noun: college / institute
Specifcally: a single-subject institution (Arts, Music, Law), a branch inside a university, or Junior College (Singapore specific).",她就读于艺术学院，主修绘画。,"She studies at an art college, majoring in painting.",她就读于艺术__，主修绘画。,Band1,Unknown,5
页,yè,"noun: page (in a book, document, website)","请翻到书的第五十页。
",Please turn to page 50 of the book.,"""请翻到书的第五十__。
""",Band1,Unknown,5
正在,zhèngzài,in process of,我正在吃饭,I’m eating (right now).,我__吃饭,Band1,1.2,5
知识,zhīshi,noun: knowledge,他在历史方面的知识非常丰富。,He has a wealth of knowledge in history.,他在历史方面的__非常丰富。,Band1,1.6,5
中间,zhōngjiān,noun: middle; center,他站在人群中间。,He stood in the middle of the crowd.,他站在人群__。,Band1,4.2,5
重要,zhòngyào,important,家人对我来说最重要,Family is the most important to me.,家人对我来说最__,Band1,1.3,5
爱情,àiqíng,Noun: romantic love / romance,爱情征服一切，我们必须屈从爱情。,There is deep romantic love between them,他们之间有很深的__,Band2,Unknown,5
爱人,àirén,"Noun: husband or wife / spouse
In mainland China and formal contexts, it is the standard way to refer to one’s legal spouse.",她的爱人很支持她的工作,Her partner/lover really supports her work,她的__很支持她的工作,Band2,7.15,5
办公室,bàngōngshì,noun: office,我在办公室工作，每天朝九晚五。,I work in an office from 9 to 5 every day.,我在__工作，每天朝九晚五。,Band2,1.4,5
半夜,bànyè,in the middle of the night,不要半夜打电话给我,Don’t call me in the middle of the night.,不要__打电话给我,Band2,3.7,5
报名,bàomíng,sign up,你报名参加比赛了吗？,Did you sign up for the competition?,你报名参加比赛了吗？,Band2,1.7,5
背,bēi,carry on the back,他背着一个很大的书包,He’s carrying a big backpack.,他__着一个很大的书包,Band2,Unknown,5
遍,biàn,Times,这本书我读了三遍,I’ve read this book three times (completely).,这本书我读了三__,Band2,Unknown,5
变成,biànchéng,become; change into,水变成了冰,Water turned into ice.,水__了冰,Band2,1.1,5
笔记本,bǐjìběn,Notebook,我买了一个新笔记本来记汉字,I bought a new notebook to write down Chinese characters.,我买了一个新__来记汉字,Band2,Unknown,5
比如,bǐrú,such as,我喜欢很多运动，比如篮球和游泳,"I like many sports, for example, basketball and swimming.",我喜欢很多运动，__篮球和游泳,Band2,1.4,5
必须,bǐxú,Must,你必须每天练习中文。,You must practice Chinese every day.,你__每天练习中文。,Band2,1.3,5
不但,búdàn,not only,他不但聪明，而且非常勤奋,"He is not only intelligent, but also very hardworking",他__聪明，__非常勤奋,Band2,1.4,5
部分,bùfen,Part,我只看了这本书的一部分,I only read part of this book.,我只看了这本书的一__,Band2,1.9,5
不过,búguò,"adverb: however, but 
adverb: only, just",这里的菜很好吃，不过价格不过五块钱。,"The food here is delicious, but the price is only five dollars.",这里的菜很好吃，__价格__五块钱。,Band2,1.3,5
不满,bùmǎn,dissatisfied,"(Adjective)员工们对新的政策感到不满
(Noun)这引起了许多人的不满",He is very dissatisfied with the service,"(Adjective)员工们对新的政策感到__
(Noun)这引起了许多人的__",Band2,3.8,5
不如,bùrú,verb: not as good as; inferior to,与其犹豫不决，不如直接试一次。,"Instead of hesitating, it’s better to just try once.",与其犹豫不决，__直接试一次。,Band2,1.4,5
不太,bútài,not too; not very much,这个价格不太贵,This price is not too expensive.,这个价格__贵,Band2,Unknown,5
不同,bùtóng,different,我们有不同的看法,We have different opinions.,我们有__的看法,Band2,1.4,5
不一定,bùyīdìng,not necessarily; uncertain,贵的不一定就是最好的,Expensive doesn’t necessarily mean the best.,贵的__就是最好的,Band2,2.5,5
菜单,càidān,menu,菜单上有很多素菜,There are lots of vegetarian dishes on the menu.,__上有很多素菜,Band2,2.1,5
参观,cānguān,visit,我们明天要去参观博物馆,We’re going to visit the museum tomorrow.,我们明天要去__博物馆,Band2,1.2,5
草地,cǎodì,lawn,孩子们在草地上玩游戏,The kids are playing on the grass.,孩子们在 __上玩游戏,Band2,1.2,5
层,céng,noun: layer / floor (of a building),这栋楼有二十层，我的办公室在第十层。,"This building has 20 floors, and my office is on the 10th.",这栋楼有二十__，我的办公室在第十__。,Band2,Unknown,5
常见,chángjiàn,commonly seen,这是一个很常见的问题,This is a very common problem.,这是一个很__的问题,Band2,5.1,5
常用,chángyòng,commonly used,这些是常用的汉字,These are commonly used Chinese characters.,这些是__的汉字,Band2,5.3,5
超过,chāoguò,Exceed,他的身高超过了一米八,Our income has exceeded last year’s.,他的身高__了一米八,Band2,Unknown,5
超市,chāoshì,Supermarket,我去超市买点儿东西,I'm going to the supermarket to buy something.,我去__买点儿东西,Band2,4.2,5
车辆,chēliàng,noun: vehicle,这个路口禁止一切车辆通行。,All vehicles are prohibited from passing through this intersection.,这个路口禁止一切__通行。,Band2,3.2,5
成绩,chéngjì,results,她的考试成绩非常好,Her exam results are excellent.,她的考试__非常好,Band2,2.1,5
重复,chóngfù,repeat,别总是重复同样的错误,Don’t keep repeating the same mistakes.,别总是__同样的错误,Band2,2.7,5
重新,chóngxīn,adverb: again / afresh,他决定重新开始，换了工作，也搬了新家。,He decided to start over—he changed jobs and moved to a new home.,他决定__开始，换了工作，也搬了新家。,Band2,4.2,5
出口,chūkǒu,"noun: exit; export
verb: to export",这个商场的出口在左边，而他们主要把产品出口到国外。,"The mall’s exit is on the left, and they mainly export their products overseas.",这个商场的出口在左边，而他们主要把产品出口到国外。,Band2,6.2,5
出生,chūshēng,born,他是2000年出生的。,He was born in the year 2000.,他是2000年__的。,Band2,3.6,5
出院,chūyuàn,discharged; leave hospital,他昨天刚出院,He was just discharged from the hospital yesterday.,他昨天刚__,Band2,7.16,5
出租,chūzū,rent,这套房子正在出租,This apartment is currently for rent.,这套房子正在__,Band2,2.2,5
出租车,chūzūchē,taxi,我需要叫一辆出租车,I need to call a taxi.,我需要叫一辆__,Band2,Unknown,5
大部分,dàbùfèn,most,大部分学生都通过了考试,Most of the students passed the exam.,__学生都通过了考试,Band2,Unknown,5
大多数,dàduōshù,most people; great majority of people,大多数人喜欢这个电影。,The majority of people like this movie.,__人喜欢这个电影。,Band2,Unknown,5
打工,dǎgōng,to work a part-time or casual job,很多大学生暑假去打工,Many college students work part-time during summer break.,很多大学生暑假去__,Band2,3.5,5
大量,dàliàng,"adjective: large amount of; massive
noun: large quantity",短时间内涌入了大量游客，景区一度很拥挤。,"A large number of tourists poured in within a short time, and the scenic area became crowded for a while.",短时间内涌入了__游客，景区一度很拥挤。,Band2,Unknown,5
当时,dāngshí,at that time,我当时不知道该怎么办,"At that time, I didn’t know what to do.",我__不知道该怎么办,Band2,1.3,5
单位,dānwèi,"Can still refer to a person's workplace, especially in more formal or official contexts, or when the organization has some level of state affiliation.
Can also be used more generally to mean a ""unit"" within an organization or system.",我在一个政府单位工作,I work at a government organization.,我在一个政府__工作,Band2,4.8,5
道路,dào,"Scope: It tends to refer to main roads, highways, or a system of roads. It can also be used metaphorically to mean a path or way (e.g., a path to success).
Formality: It's more common in formal writing, official announcements, news reports, and technical contexts.",城市的道路越来越多了,There are more and more roads in the city.,城市的__越来越多了,Band2,5.1,5
到处,dàochù,everywhere,节日的时候，城市里到处都是人,"During holidays, the city is full of people everywhere.",节日的时候，城市里__都是人,Band2,1.2,5
道理,dàolǐ,reason / principle / logic,"你说的很有道理
他从来不听道理。","What you said makes a lot of sense.
He never listens to reason.","你说的很有__
他从来不听__。",Band2,1.3,5
打算,dǎsuàn,Plan,我打算下个月去旅行。,I plan to travel next month.,我__下个月去旅行。,Band2,1.5,5
大小,dàxiǎo,size,这些箱子的大小都不一样,These boxes are all different sizes.,这些箱子的__都不一样,Band2,5.1,5
大衣,dàyī,overcoat,今天太冷了，我穿了大衣,It’s too cold today—I wore a coat.,今天太冷了，我穿了__,Band2,7.16,5
打印,dǎyìn,verb: to print,请把这份文件打印出来交给老师。,Please print this document and hand it to the teacher.,请把这份文件__出来交给老师。,Band2,Unknown,5
答应,dāying,promise,你答应过我的！,You promised me!,你__过我的！,Band2,1.5,5
大自然,dàzìrán,nature,我们应该保护大自然,We should protect nature.,我们应该保护__,Band2,2.3,5
得出,déchū,to come to (a conclusion,我们得出了一个结论,We came to a conclusion.,我们__了一个结论,Band2,Unknown,5
等于,děngyú,Be equal to,二加二等于四,Two plus two equals four.,二加二__四,Band2,7.16,5
度,dù,"noun: degree / extent / unit
verb: to spend (time, formal)",今天的温度是三十度，他决定在家度过这个炎热的下午。,"The temperature today is 30 degrees, and he decided to spend the hot afternoon at home.",今天的温度是三十__，他决定在家度过这个炎热的下午。,Band2,Unknown,5
段,duàn,paragraph,请读一下这段文章,Please read this paragraph,请读一下这__文章,Band2,Unknown,5
短信,duǎnxìn,SMS / Text Message,我给你发了一个短信,I sent you a text message.,我给你发了一个__,Band2,2.4,5
队,duì,team,他们是一支足球队,They are a soccer team.,他们是一支足球__,Band2,Unknown,5
对话,duìhuà,dialogue,这是一段很有趣的对话,This is a very interesting dialogue.,这是一段很有趣的__,Band2,1.8,5
对面,duìmiàn,Opposite side,银行就在学校对面,The bank is right across from the school.,银行就在学校__,Band2,3.6,5
队长,duìzhǎng,team leader; captain,队长负责安排训练,The captain is in charge of organizing training.,__负责安排训练,Band2,6.2,5
多数,duōshù,most; majority,多数人都同意这个计划,The majority of people agree with this plan.,__人都同意这个计划,Band2,2.5,5
读音,dúyīn,pronunciation,这个汉字有两个读音,This character has two pronunciations.,这个汉字有两个__,Band2,7.13,5
方便,fāngbiàn,convenient,你什么时候方便见面？,When is it convenient for you to meet?,你什么时候__见面？,Band2,1.5,5
方便面,fāngbiànmiàn,noun: instant noodles,我太饿了，先泡一碗方便面吃吧。,I'm so hungry—let me make a bowl of instant noodles first.,我太饿了，先泡一碗__吃吧。,Band2,Unknown,5
方面,fāngmiàn,Aspect,我们要在各个方面改进工作,We need to improve our work in every aspect.,我们要在各个__改进工作,Band2,1.8,5
饭馆,fànguǎn,restaurant,这家饭馆的菜很好吃,The food at this restaurant is really tasty.,这家__的菜很好吃,Band2,Unknown,5
方向,fāngxiàng,direction,请问火车站的方向是哪边？,"Excuse me, which way is the train station?",请问火车站的__是哪边？,Band2,1.9,5
放心,fàngxīn,Don't worry,你放心，我会帮你的,"Don’t worry, I’ll help you.",你__，我会帮你的,Band2,1.5,5
分数,fēnshù,score; mark; fraction,他的分数比我高。,His score is higher than mine.,他的__比我高。,Band2,7.6,5
服务,fúwù,service,这家饭店的服务很好,我们的工作是为客户服务,这家饭店的__很好,Band2,1.7,5
该,gāi,"auxiliary verb: should / ought to
pronoun: that / the said (formal/literary)",该文件已经过期，你该重新下载新的版本。,The said document has expired—you should download the latest version.,__文件已经过期，你__重新下载新的版本。,Band2,Unknown,5
改变,gǎibiàn,change,你不想改变一下自己吗？,Don’t you want to change yourself a bit?,你不想__一下自己吗？,Band2,1.7,5
感谢,gǎnxiè,Thank,我想借这个机会表示感谢。,I want to take this opportunity to express my thanks.,我想借这个机会表示__。,Band2,1.5,5
高级,gāojí,advanced / high-level,他上的是高级汉语课。,He’s taking an advanced Chinese class.,他上的是__汉语课。,Band2,5.3,5
个子,gèzi,Height,你弟弟个子真高！,Your little brother is really tall!,你弟弟__真高！,Band2,4.2,5
公共汽车,gōnggòngqìchē,public vehicle (formal version),这条路线的公共汽车班次不多,The public bus services on this route are infrequent,这条路线的__班次不多,Band2,Unknown,5
公交车,gōngjiāochē,public transport vehicle,在中国，很多人选择乘坐公交车出行,"In China, many people choose to travel by public bus",在中国，很多人选择乘坐__出行,Band2,Unknown,5
公斤,gōngjīn,kilogram,这个西瓜有五公斤重,This watermelon weighs five kilograms.,这个西瓜有五__重,Band2,4.3,5
公里,gōnglǐ,kilometre,学校离我家有三公里远。,The school is three kilometers away from my home.,学校离我家有三__远。,Band2,6.3,5
公路,gōnglù,generally refers to a major road connecting cities and towns. (Not the same as expressway),我们沿着这条公路一直开。,We drove straight along this highway.,我们沿着这条__一直开。,Band2,3.8,5
公路,gōnglù,noun: highway; road,那条公路非常宽。,That highway is very wide.,那条__非常宽。,Band2,3.8,5
公平,gōngpíng,fair,老师对每个学生都很公平。,The teacher is fair to every student.,老师对每个学生都很__。,Band2,2.4,5
公司,gōngsī,company,他在一家外国公司工作。,He works at a foreign company.,他在一家外国__工作。,Band2,3.8,5
观点,guāndiǎn,"viewpoint / point of view (more formal version, often used in writing, debates, essays, or academic discussions.)",我同意你的观点。,I agree with your point of view.,我同意你的__。,Band2,5.5,5
广场,guǎngchǎng,square (not the shape),孩子们在广场上玩游戏。,The children are playing games in the square.,孩子们在__上玩游戏。,Band2,2.1,5
广告,guǎnggào,Advertisement,电视上正在播放一则新的广告。,A new advertisement is playing on TV.,电视上正在播放一则新的__。,Band2,2.3,5
关机,guānjī,"to turn off (a machine/device),"" ""to shut down,"" or ""to power off.""",请把这个设备关机,Please turn off this device,请把这个设备__,Band2,Unknown,5
顾客,gùkè,customer,顾客永远是第一位的。,The customer is always the top priority.,__永远是第一位的。,Band2,2.3,5
