Chinese Words,pinyin,English Words,Question Type,Category,Chinese Usage in a Sentence,English Usage in a sentence,Color,Chinese Usage in a Sentence Hint,Band 0 HSK
爱好,àihào,Hobby,Both,Misc,我的爱好是画画和看书,My hobbies are painting and reading.,5,我的__是画画和看书,Band1
包子,bāozi,Bun,Both,Food/Drinks,我早饭吃了两个包子,I ate two steamed buns for breakfast,5,我早饭吃了两个__,Band1
打车,dǎchē,take a taxi,Both,Vehicle,太晚了，我们打车回家吧,"It’s too late, let’s take a taxi home",5,太晚了，我们__回家吧,Band1
地点,dìdiǎn,location,Both,Location,会议将在市中心的一个新地点举行,The meeting will take place at a new location downtown.,5,会议将在市中心的一个新__举行,Band1
地方,dìfang,Local as in Local officials,English,Misc,地方当局正在调查这起事件,The local authorities are investigating the incident,5,__当局正在调查这起事件,Band1
电影院,diànyǐngyuàn,Cinema,English,Location,我们晚上去电影院看电影吧,Let’s go to the cinema tonight,5,我们晚上去__看电影吧,Band1
地图,dìtú,Map,Both,Misc,我用地图找到了那家饭店,I used a map to find that restaurant,5,我用__找到了那家饭店,Band1
汉字,hànzì,Chinese character,English,Misc,我每天练习写汉字,I practice writing Chinese characters every day,5,我每天练习写__,Band1
行,háng,noun (háng): profession / line of work,Both,Misc,他在技术这一行很有经验，说他行是有道理的。,"He has lots of experience in the tech field, so saying he’s good at it makes sense.",5,他在技术这一__很有经验，说他__是有道理的。,Band1
机票,jīpiào,plane ticket,English,Misc,你的机票买了吗,Did you buy your plane ticket?,5,你的__买了吗,Band1
家人,jiārén,family,English,Misc,我很想念我的家人,I really miss my family.,5,我很想念我的__,Band1
见面,jiànmiàn,meet,Both,Misc,我们下周见面吧,Let’s meet next week.,5,我们下周__吧,Band1
开车,kāichē,drive,Both,Vehicle,我不会开车,I don’t know how to drive,5,我不会__,Band1
课文,kèwén,main body of text within a lesson in a textbook or educational material,Both,School,请大声朗读这篇课文,Please read the text aloud.,5,请大声朗读这篇__,Band1
路口,lùkǒu,intersection,Both,Location,到下一个路口右转,Turn right at the next intersection.,5,到下一个__右转,Band1
门票,ménpiào,tickets,English,Misc,博物馆的门票多少钱？,How much is the museum ticket?,5,博物馆的__多少钱？,Band1
请假,qǐngjià,ask for leave,English,Misc,我明天要请假,I need to take a day off tomorrow.,5,我明天要__,Band1
网友,wǎngyǒu,net friend,Chinese,Misc,我有很多网友,I have lots of online friends.,5,我有很多__,Band1
正在,zhèngzài,in process of,Chinese,Misc,我正在吃饭,I’m eating (right now).,5,我__吃饭,Band1
重要,zhòngyào,important,English,Misc,家人对我来说最重要,Family is the most important to me.,5,家人对我来说最__,Band1
商场,shāngchǎng,noun: shopping mall / department store,Both,Misc,这家商场今天打折，人特别多。,This shopping mall is having a sale today — it's super crowded.,5,这家__今天打折，人特别多。,Band1
商店,shāngdiàn,noun: shop / store,Both,Misc,那家商店24小时营业，晚上也可以买东西。,"That store is open 24 hours, so you can shop even at night.",5,那家__24小时营业，晚上也可以买东西。,Band1
介绍,jièshào,"verb: to introduce

noun: introduction",Both,Misc,老师先做了自我介绍，然后介绍了今天的课程安排。,"The teacher first introduced herself, then introduced the day’s lesson plan.",5,老师先做了自我__，然后__了今天的课程安排。,Band1
上网,shàngwǎng,verb: to go online / surf the internet,Both,Misc,我每天晚上都会上网查资料。,I go online every night to look things up.,5,我每天晚上都会__查资料。,Band1
天气,tiānqì,noun: weather,Both,Misc,今天天气很好，适合去散步。,The weather is great today — perfect for a walk.,5,今天__很好，适合去散步。,Band1
外语,wàiyǔ,noun: foreign language,Both,Misc,她从小就对外语很感兴趣，现在能说三种语言。,She’s been interested in foreign languages since young and can now speak three.,5,她从小就对__很感兴趣，现在能说三种语言。,Band1
外国,wàiguó,noun: foreign country,Both,Misc,他明年打算去外国留学。,He plans to study abroad next year.,5,他明年打算去__留学。,Band1
网友,wǎngyǒu,noun: online friend,Both,Misc,我和一个网友聊了很久，后来还见了面,"I chatted with an online friend for a long time, and we eventually met in person.",5,我和一个__聊了很久，后来还见了面,Band1
学院,xuéyuàn,noun: college / institute,Both,Misc,她就读于艺术学院，主修绘画。,"She studies at an art college, majoring in painting.",5,她就读于艺术__，主修绘画。,Band1
页,yè,"noun: page (in a book, document, website)",Both,Misc,"请翻到书的第五十页。
",Please turn to page 50 of the book.,5,"""请翻到书的第五十__。
""",Band1
工人,gōngrén,Worker,English,Misc,我的叔叔是一名工人,My uncle is a worker,5,我的叔叔是一名__,Band1
机场,jīchǎng,Airport,English,Location,我们明天早上去机场接他,We’re going to the airport tomorrow morning to pick him up,5,我们明天早上去__接他,Band1
教学楼,jiàoxuélóu,teaching building,English,School,我们的教室在第二教学楼,Our classroom is in the second academic building,5,我们的教室在第二__,Band1
哪些,nǎxiē,which,Both,Misc,你喜欢哪些电影？,Which movies do you like?,5,你喜欢__电影？,Band1
上班,shàngbān,go to work,Chinese,Misc,我早上九点上班,I start work at 9 a.m.,5,我早上九点__,Band1
