"item","type","category","example sentence 1","chinese sentence 1","example sentence 2","chinese sentence 2","example sentence 3","chinese sentence 3","example sentence 4","chinese sentence 4"
"定语从句：[句子] + 的 + 名词","grammar","grammar_structure","The person who called me yesterday is my teacher.","昨天给我打电话的人是我的老师。","","","","","",""
"谁做动作 → 修饰谁","grammar","expression","The student who solved the problem explained it to the class.","解出那道题的学生向全班解释了答案。","","","","","",""
"V得 + 结果","grammar","grammar_structure","He spoke so clearly that everyone understood.","他说得很清楚，大家都听懂了。","","","","","",""
"Adj到 + 结果","grammar","grammar_structure","The weather became so cold that the river froze.","天气冷到河水都结冰了。","","","","","",""
"看得懂 / 看不懂","grammar","expression","I can understand this article, but I cannot understand that report.","这篇文章我看得懂，但是那份报告我看不懂。","","","","","",""
"如果 / 只要…就…","grammar","condition_sequence","If you finish early, then send me the file.","如果你早点做完，就把文件发给我。","","","","","",""
"…后 / …之后 / …以后","grammar","condition_sequence","After the meeting ends, we will discuss the plan.","会议结束以后，我们会讨论这个计划。","","","","","",""
"才","adverb","time_frequency","Only after he apologized did she forgive him.","他道歉以后，她才原谅他。","Only after finishing the report did he relax.","他写完报告以后，才放松下来。","She did not understand the joke until he explained it.","老师解释以后，她才明白这个笑话。","Only when the teacher arrived did the class become quiet.","老师来了以后，教室才安静下来。"
"把","grammar","grammar_structure","Please put the book on the table.","请把书放在桌子上。","","","","","",""
"被","grammar","grammar_structure","The window was broken by the strong wind.","窗户被大风吹破了。","","","","","",""
"上班 / 工作","grammar","comparison_collocation","He goes to work at nine, but he starts working at ten.","他九点去上班，但是十点才开始工作。","","","","","",""
"并不A，也不/也没有B","grammar","expression","This answer is not accurate, and it is not complete either.","这个答案并不准确，也不完整。","","","","","",""
"如果说…的话，也只是…","grammar","condition_sequence","If we call this a success, it is only a small success.","如果说这是成功的话，也只是一个小小的成功。","","","","","",""
"如果要说…","grammar","condition_sequence","If we must choose one reason, I think time is the biggest issue.","如果要说一个原因，我觉得时间是最大的问题。","","","","","",""
"和 / 跟…有什么不一样","grammar","comparison_collocation","What is the difference between this method and that method?","这个方法和那个方法有什么不一样？","","","","","",""
"对…来说","grammar","comparison_collocation","For beginners, this explanation is easier to understand.","对初学者来说，这个解释更容易理解。","","","","","",""
"不由得","adverb","attitude_intention","When I heard the news, I could not help laughing.","听到这个消息，我不由得笑了。","Seeing the old photo, she could not help crying.","看到那张旧照片，她不由得哭了。","After hearing his story, I could not help admiring him.","听完他的故事，我不由得佩服他。","When everyone laughed, he could not help smiling too.","大家都笑了，他也不由得笑了起来。"
"说不定","adverb","modality_nuance","Maybe he will change his mind tomorrow.","说不定他明天会改变主意。","Maybe we will meet him at the station.","说不定我们会在车站遇到他。","Perhaps the answer is simpler than we think.","说不定答案比我们想的简单。","Maybe she has already left the office.","说不定她已经离开办公室了。"
"有点","adverb","degree_emphasis","This soup is a little salty.","这碗汤有点咸。","This room is a little too dark.","这个房间有点太暗。","I feel a bit nervous before the interview.","面试前我有点紧张。","The explanation is a little difficult to follow.","这个解释有点难懂。"
"也只是","adverb","expression","It is only a temporary solution.","这也只是一个临时的办法。","It is only a suggestion, not a final decision.","这也只是一个建议，不是最后的决定。","His success is only the beginning of the project.","他的成功也只是这个项目的开始。","This is only one possible reason.","这也只是其中一个可能的原因。"
"那就是","adverb","expression","The real problem is that nobody wants to take responsibility.","真正的问题那就是没有人愿意负责。","The main problem is that we do not have enough time.","主要的问题那就是我们没有足够的时间。","My suggestion is that we start again tomorrow.","我的建议那就是明天重新开始。","The reason is that nobody checked the details.","原因那就是没有人检查细节。"
"在 + 地点","grammar","grammar_structure","He is waiting for you at the library.","他在图书馆等你。","","","","","",""
"…的时候","grammar","expression","When I was studying abroad, I met many kind people.","我在国外学习的时候，遇到了很多善良的人。","","","","","",""
"大地点 → 小地点","grammar","grammar_structure","The school is in Singapore, in the western part of the city.","这所学校在新加坡的西部。","","","","","",""
"话题 + 评论","grammar","grammar_structure","As for this plan, I think it needs more time.","这个计划，我觉得还需要更多时间。","","","","","",""
"直到","grammar","condition_sequence","He waited until midnight before going home.","他一直等到半夜才回家。","","","","","",""
"突然出现了","adverb","time_frequency","A stranger suddenly appeared at the door.","门口突然出现了一个陌生人。","A new problem suddenly appeared during the test.","测试时突然出现了一个新问题。","A strange sound suddenly appeared outside the room.","房间外面突然出现了奇怪的声音。","An error suddenly appeared on the screen.","屏幕上突然出现了一个错误。"
"V着 + 感受","grammar","expression","She listened to the music while feeling relaxed.","她听着音乐，觉得很放松。","","","","","",""
"还没来得及…就…","grammar","time_frequency","I had not even had time to explain before he left.","我还没来得及解释，他就走了。","","","","","",""
"从A变成B","grammar","grammar_structure","The small company gradually became a large organization.","那家小公司慢慢从小公司变成了大机构。","","","","","",""
"A被B取代","grammar","grammar_structure","Old methods were replaced by new technology.","旧方法被新技术取代了。","","","","","",""
"像…一样","grammar","comparison_collocation","She sings like a professional singer.","她唱歌像专业歌手一样。","","","","","",""
"仿佛…","grammar","modality_nuance","It seemed as if time had stopped.","时间仿佛停止了。","","","","","",""
"看见 / 听见 + 宾语 + 动作","grammar","grammar_structure","I saw him walk into the classroom.","我看见他走进教室。","","","","","",""
"把…引向…","grammar","grammar_structure","This clue led the police to the truth.","这条线索把警察引向了真相。","","","","","",""
"那里站着…","grammar","grammar_structure","There stood a tall guard at the entrance.","入口那里站着一名高大的警卫。","","","","","",""
"那里有…","grammar","grammar_structure","There is a small cafe beside the station.","车站旁边那里有一家小咖啡馆。","","","","","",""
"连…都…","grammar","degree_emphasis","Even my younger brother can solve this problem.","连我弟弟都能解出这道题。","","","","","",""
